,timestamp,device_id,AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
1204,569198616,3670026,4.966532,1.7372328,-1.4595053,-0.75623125,-0.052996907,0.034674358,54.449203
1205,569203664,3670026,2.510081,1.5456966,-10.7097435,-0.84571344,-0.049161956,0.023062976,54.458996
1206,569206151,3670026,-4.1343074,-0.39791632,-9.973287,0.772583,0.16644756,-0.06263755,54.49327
1207,569208642,3670026,2.204581,2.4329877,-10.25293,-0.20596889,-0.058909122,0.06684534,54.463894
1208,569213658,3670026,1.403481,4.9090714,-5.7216635,0.14839134,-0.027324032,0.026684875,54.434517
1209,569216225,3670026,3.719632,2.186864,-9.020394,-0.7642207,0.05406217,0.024873925,54.449203
1210,569218719,3670026,-2.4090457,1.0850523,-14.59218,0.5158011,-0.06918892,0.044847634,54.50306
1211,569223673,3670026,-6.1775193,-3.482127,-11.612836,0.70376694,-0.06412892,0.0037816889,54.390453
1212,569226281,3670026,6.463387,-4.861666,-8.258559,-0.25928536,0.06551376,-0.08287758,54.454098
1213,569229961,3670026,-4.771644,1.3943831,-9.709925,0.48187238,-0.053050168,0.018109495,54.50306
1214,569233752,3670026,0.4237737,1.1056423,-15.904203,-0.46173888,0.04415521,-0.022104237,54.42962
1215,569236252,3670026,-2.6479871,2.4200592,-1.5088259,0.10008159,-0.03723099,0.00058589544,54.43941
1216,569239980,3670026,-4.9358864,-0.15801731,-18.281166,-0.15254587,0.15195997,0.0011717909,54.39535
1217,569243708,3670026,5.512889,-7.908048,-16.78479,-0.22168154,-0.041278996,0.10040117,54.449203
1218,569247553,3670026,-5.7963624,1.9009962,3.050213,0.17832527,-0.0145408595,-0.006764429,54.458996
1219,569251238,3670026,-1.6941371,3.8431726,-18.316122,-0.51185954,0.09209211,0.01784318,54.488373
1220,569253788,3670026,-2.8079197,3.611414,0.88106626,0.4121508,-0.25507757,-0.012942963,54.449203
1221,569257523,3670026,-5.857654,-5.9424086,-7.639419,-0.26019084,-0.052677326,-0.008309063,54.47858
1222,569261275,3670026,4.7568,-5.9998693,-24.165157,-0.34487936,-0.20426446,0.053849116,54.449203
1223,569265056,3670026,-7.377014,3.361938,-2.7226863,0.31356058,-0.23877902,-0.008468852,54.42962
1224,569268767,3670026,-2.006341,-1.7650055,-5.332366,-0.47484162,-0.01304949,-0.019867182,54.458996
1225,569271296,3670026,1.3172898,-3.6616921,-5.767632,0.50163305,0.018002968,-0.11845741,54.51285
1226,569275093,3670026,0.31603462,4.2549753,5.6464853,-0.47063383,0.23238744,0.11483551,54.52754
1227,569278857,3670026,1.0429143,-1.7927783,-25.72857,-0.32197618,-0.19744676,0.047564056,54.42962
1228,569283825,3670026,0.83222455,-2.6317065,-27.401638,0.31249532,-0.13986923,-0.048682585,54.463894
1229,569286296,3670026,4.4134717,4.3047748,0.50278234,-0.9343967,0.018429074,0.13773869,54.44431
1230,569290073,3670026,-1.1516111,-1.1147404,-29.389305,-0.12101404,-0.24266724,0.04990764,54.48348
1231,569292560,3670026,3.7296875,-6.8651342,11.882902,-0.36155075,0.11094729,-0.05145227,54.50306
1232,569296321,3670026,3.5333629,-2.2864625,-20.268354,-0.21065605,-0.39356196,-0.038083203,54.522644
1233,569300075,3670026,-4.3646297,-3.5740643,-12.022244,0.637401,-0.08404937,-0.017417073,54.42962
1234,569305082,3670026,0.6076484,-4.127604,-5.9433665,0.34386736,-0.00644485,0.0608266,54.424725
1235,569306376,3670026,-7.2927384,3.7344759,-10.040324,0.4842692,-0.023276027,0.007882956,54.473686
1236,569310155,3670026,7.443573,-4.6562433,0.30885202,-0.3404585,0.042077944,0.15488945,54.498165
1237,569313919,3670026,-5.6541467,-1.7281348,-23.902273,-0.29305425,-0.2566222,-0.21784657,54.434517
1238,569317604,3670026,-5.1930237,2.435382,-0.24229321,0.36954024,0.04809669,0.03307646,54.46879
1239,569320124,3670026,0.62009823,-1.6745046,-20.662918,-0.24218787,-0.5031244,-0.108550444,54.50306
1240,569323879,3670026,-5.7470417,0.44532153,1.7080235,0.19419771,0.04005394,0.070041135,54.46879
1241,569327723,3670026,10.293631,-5.4243035,-3.4122162,-0.1824798,-0.22706112,0.073449984,54.46879
1242,569331382,3670026,-7.2065473,-2.5033774,-26.62496,0.084848315,-0.4595551,-0.078616515,54.463894
1243,569335129,3670026,3.1914709,-0.42760444,12.685917,-0.04181163,0.2884736,0.07595336,54.390453
1244,569337648,3670026,-5.113536,0.02777274,-32.419407,-0.12644689,-0.23435818,-0.11914983,54.449203
1245,569341434,3670026,-0.48171338,-1.6065093,-2.7629087,0.2269546,0.09885654,0.059335228,54.48348
1246,569345246,3670026,9.297164,-1.7444154,7.0135746,-0.4213121,-0.15526229,-0.06018744,54.458996
1247,569350246,3670026,3.757939,0.1661576,-19.094717,-0.22977754,-0.38748994,-0.09560748,54.424725
1248,569353946,3670026,-8.268615,-2.3429658,-27.59078,0.41167143,-0.10594055,0.047137953,54.454098
1249,569355211,3670026,-14.856501,1.0601525,-32.52667,-0.17896442,-0.48043427,-0.075687036,54.449203
1250,569360196,3670026,-16.28105,2.5809495,-29.882032,0.1010936,-0.04133226,0.006924219,54.488373
1251,569363968,3670026,8.347145,-2.8514943,-4.4287944,-0.030573089,0.050759852,0.10956245,54.48348
1252,569366443,3670026,-16.882475,1.0299855,-34.948643,-0.23782028,-0.2951848,-0.05603291,54.454098
1253,569370214,3670026,9.972808,3.128264,-0.6842629,0.055233963,0.29561087,0.14668691,54.498165
1254,569373968,3670026,4.5508986,3.1751904,-2.951093,-0.0700944,-0.11952267,-0.1892975,54.47858
1255,569376521,3670026,4.8961425,-1.547612,-0.9433155,0.30317426,0.14839134,0.06098639,54.48348
1256,569380225,3670026,4.6610317,-3.914041,-1.6294937,-0.006072007,-0.13933659,-0.1381648,54.54223
1257,569383990,3670026,-14.684118,0.3806781,-24.191013,-0.079788305,-0.1045557,0.045593318,54.424725
1258,569387806,3670026,6.551015,-1.8942924,3.9427714,0.1300688,0.15126754,0.05262406,54.424725
1259,569390245,3670026,-8.821675,-0.36487633,-26.391764,-0.16357136,0.08218515,-0.11014834,54.336597
1260,569394075,3670026,8.255208,8.933246,10.39706,-0.19648802,0.58238006,0.18658106,54.50306
1261,569397775,3670026,0.050757077,-5.5799265,-20.436426,0.032810144,-0.045060687,-0.069135666,54.410038
1262,569401533,3670026,-8.599494,-4.1457996,-29.198248,0.15755261,0.15808524,-0.055766594,54.48348
1263,569405267,3670026,11.986332,7.767269,12.325351,-0.16255936,0.41742387,0.1222391,54.434517
1264,569409055,3670026,-7.8898525,1.445619,-32.501766,-0.29033783,-0.14695323,-0.06514092,54.44431
1265,569411543,3670026,10.852438,0.5233725,16.047855,-0.12942962,0.4102866,-0.022743396,54.463894
1266,569415346,3670026,-2.7739222,6.5452685,-13.262441,-0.31638354,-0.053476274,-0.15435682,54.488373
1267,569419087,3670026,-11.694239,-5.5253386,-30.533255,0.44203147,0.12213257,0.10641992,54.43941
1268,569421547,3670026,6.0606823,-3.9758115,-1.7846379,-0.0012783173,0.41513357,-0.19845876,54.44431
1269,569425380,3670026,-13.464033,-1.4197617,-40.868065,-0.10519487,0.18381138,0.13907027,54.53733
1270,569429116,3670026,13.848541,0.18962078,14.589787,0.30157638,0.40527984,0.2220011,54.43941
1271,569434076,3670026,8.361032,-2.6015396,12.215696,0.15036207,0.23281354,-0.046339,54.458996
1272,569436588,3670026,-6.163154,-0.26384103,-27.707138,-0.08064052,0.4033624,0.1047155,54.46879
1273,569439084,3670026,1.4939818,-0.87292594,-6.001306,0.45247108,-0.256782,-0.18503644,54.40514
1274,569444158,3670026,-5.7087345,1.1415554,-20.551828,-0.0040480047,-0.024181502,-0.18317223,54.356182
1275,569446605,3670026,4.118027,1.2612655,-2.0389023,0.10407633,0.09843043,0.08570053,54.46879
1276,569450374,3670026,-9.25359,-0.79248077,-15.662868,0.5223524,-0.2817092,-0.16937704,54.434517
1277,569454160,3670026,-1.1894394,2.5541344,-6.5586762,-0.28767467,0.42413503,0.09938917,54.449203
1278,569460395,3670026,-1.9579781,-2.059971,-30.165504,0.16570188,0.065353975,-0.0002663161,54.38066
1279,569464150,3670026,13.908397,-4.396712,7.7873807,0.32858083,0.09454222,-0.04149205,54.43941
1280,569470467,3670026,14.833037,-6.5835757,4.7046065,0.47505468,0.06530071,-0.042397525,54.42962
1281,569471663,3670026,2.5680208,2.2208614,-25.290432,-0.08628642,-0.14002901,0.03169162,54.458996
1282,569474162,3670026,-9.43938,1.7032351,3.9236178,0.29017803,0.03717773,0.00990696,54.424725
1283,569478001,3670026,-4.8161764,1.3445837,-34.963005,-0.66840017,0.1917476,0.0721184,54.473686
1284,569481667,3670026,9.628043,-6.844065,3.9834728,0.9755159,0.010333065,-0.10088054,54.463894
1285,569485422,3670026,-5.11593,2.4574087,12.997164,0.16309199,0.23009712,-0.021731395,54.375767
1286,569489229,3670026,-3.0339324,0.99886096,-37.225048,-0.664725,-0.07206514,0.023755398,54.458996
1287,569491719,3670026,-0.6909666,10.055168,16.758455,0.40139166,0.15952335,-0.024288028,54.449203
1288,569495434,3670026,-2.0532675,1.4547169,-34.93284,-0.8566324,-0.26189527,-0.11494204,54.458996
1289,569499200,3670026,-3.164177,0.6138733,-19.91497,0.7188937,-0.17433053,-0.03307646,54.41983
1290,569504211,3670026,-2.2122424,-3.3605015,-3.8067808,0.96518284,0.1010936,-0.059761334,54.46879
1291,569507971,3670026,11.956164,-3.4577062,15.070064,-0.51782507,0.20048277,-0.050173957,54.38066
1292,569509224,3670026,3.7502775,-3.0372844,13.314156,0.55068845,0.11366372,-0.022690132,54.463894
1293,569514289,3670026,12.358391,-0.9983821,18.65993,-0.27047065,0.20112193,0.10849718,54.44431
1294,569516807,3670026,-14.041036,1.502601,-35.557247,0.21150826,-0.33140376,0.06018744,54.414932
1295,569520479,3670026,9.845915,-3.964798,13.059892,0.20889835,-0.014434333,0.050706588,54.522644
1296,569524244,3670026,4.651455,0.021068975,-11.745954,-0.40570596,-0.19584887,-0.13502227,54.40514
1297,569526796,3670026,4.754406,-0.40749314,2.5474308,0.41018006,0.16852483,0.07222493,54.48348
1298,569530532,3670026,8.185297,1.2243948,7.612125,-0.18690065,0.13406353,-0.24266724,54.44431
1299,569534266,3670026,-15.684895,4.9464207,-36.22858,-0.20532972,-0.10215886,0.035260253,54.449203
1300,569538079,3670026,8.963412,4.291367,4.070622,-0.14040186,0.2605104,0.16197346,54.390453
1301,569541856,3670026,2.993231,4.0452433,-4.9995723,-0.12202604,-0.086978845,-0.29028457,54.473686
1302,569544344,3670026,4.9119444,1.715685,-3.9715018,0.20682108,0.098110855,0.12133362,54.449203
1303,569548077,3670026,8.439561,-1.8674773,4.1352654,-0.03424825,-0.11883025,-0.081226416,54.370872
1304,569551818,3670026,-12.830049,2.2692244,-32.93512,-0.35798213,-0.12032162,-0.084262416,54.449203
1305,569555551,3670026,7.3377495,3.0186095,3.896324,0.015819177,0.09752496,0.115155086,54.454098
1306,569559304,3670026,0.60956377,-0.43047747,-6.271851,-0.06567355,-0.23366575,-0.103170864,54.424725
1307,569561845,3670026,8.55592,0.69479734,2.6082435,-0.17576863,0.45247108,0.10988203,54.507957
1308,569565575,3670026,5.196854,-2.8093562,-3.1814153,0.05091964,-0.03898868,-0.047244478,54.400246
1309,569569320,3670026,-12.4086685,-4.8204856,-38.939297,-0.04926848,-0.18519622,-0.024394555,54.424725
1310,569574341,3670026,-2.489491,2.1059399,-17.846859,-0.23206785,0.28623655,0.03334278,54.434517
1311,569576891,3670026,-0.88441813,0.21739352,-14.911088,-0.23771375,-0.21209414,-0.07483482,54.488373
1312,569579401,3670026,10.281181,1.9517533,9.769779,0.0048469533,0.27340013,0.069828086,54.48348
1313,569584362,3670026,16.432842,-4.81043,12.001176,-0.15680693,0.22977754,0.09938917,54.458996
1314,569586874,3670026,-16.93754,3.8053443,-40.02052,-0.4818191,-0.14705975,0.013848438,54.454098
1315,569590698,3670026,14.265133,-1.6481684,8.618648,0.06711166,0.14407702,0.11638014,54.400246
1316,569594441,3670026,-2.437776,-2.1198263,-3.7742195,0.18860507,0.094116114,-0.23393208,54.38556
1317,569596908,3670026,10.508151,3.7114916,4.268383,-0.22690132,0.39121836,0.1230913,54.43941
1318,569600649,3670026,7.4225044,4.064397,7.9793954,0.5543104,0.097631484,-0.20053603,54.47858
1319,569604474,3670026,-12.195584,-1.2258313,-32.36099,-0.5833388,-0.0012250541,0.06423545,54.46879
1320,569608223,3670026,12.051932,2.4109612,4.780263,-0.2603506,0.32607743,0.14966965,54.50306
1321,569610749,3670026,-11.83023,10.31039,-31.64177,-0.5951632,-0.11504856,-0.060560282,54.434517
1322,569614416,3670026,3.049734,0.5291186,-9.124782,-0.04564658,0.09608685,0.13331784,54.47858
1323,569618180,3670026,1.988624,-1.6955737,3.3126175,0.22040321,-0.136993,-0.07313041,54.400246
1324,569621958,3670026,-6.4437547,11.044931,-24.98972,-0.6395848,0.1117995,0.00974717,54.47858
1325,569625695,3670026,5.278736,-1.5753847,-7.2314467,0.06029397,0.061252706,0.0850081,54.42962
1326,569628265,3670026,-5.8049817,-0.6813898,-20.57912,-0.4418717,0.013848438,-0.077444725,54.46879
1327,569632052,3670026,12.87458,-2.6891675,-9.504981,-0.21763353,0.2780873,0.12761869,54.50306
1328,569636971,3670026,6.059725,-1.17268,-1.8727446,0.31233552,0.023702133,-0.048149955,54.43941
1329,569639497,3670026,-5.6330776,-0.7144298,-23.264936,-0.6146043,0.03717773,-0.015978966,54.47858
1330,569644533,3670026,5.9491124,2.123178,-19.38633,-0.4967328,0.18674086,0.14903049,54.40514
1331,569645798,3670026,-10.665211,3.583641,-28.81278,-0.399847,-0.01635181,-0.013582122,54.463894
1332,569649573,3670026,12.129026,-0.6799533,1.7238252,-0.0034088462,0.08277105,0.115261614,54.44431
1333,569653248,3670026,-5.6306834,3.1244333,-2.717898,0.43766388,0.0116113825,-0.07920241,54.522644
1334,569657005,3670026,-6.6271505,2.5680208,-29.364883,-0.77604514,0.008202536,0.096353166,54.434517
1335,569660771,3670026,12.163024,1.5251065,6.886682,0.31031153,0.009001484,0.054168697,54.48348
1336,569664521,3670026,-5.75183,-1.3809756,-8.030631,0.3594202,0.08910937,-0.07643273,54.38066
1337,569667024,3670026,9.4599695,1.4504074,0.7752425,0.12330436,0.035260253,0.05608617,54.48348
1338,569670797,3670026,-4.234864,0.42185834,2.3439236,0.55372447,0.009853696,-0.11110708,54.410038
1339,569674533,3670026,-0.8556877,3.3025618,-23.917118,-0.9110674,0.038296256,0.05853628,54.42962
1340,569678320,3670026,4.1702204,0.9835381,1.8459295,0.41976744,-0.063010395,0.010546118,54.46879
1341,569680819,3670026,0.7637504,5.431965,-21.745577,-0.90893686,0.12495552,0.06950851,54.43941
1342,569685802,3670026,2.9779081,-4.933492,-26.922798,-0.5243764,-0.039574575,0.08111989,54.40514
1343,569688314,3670026,-5.624459,0.4060566,5.057033,0.5664011,0.1480185,-0.060720075,54.434517
1344,569692074,3670026,3.6640863,4.862145,-23.22615,-0.83293027,0.01603223,0.11403656,54.449203
1345,569695888,3670026,-0.046926353,5.333324,-9.868421,0.4689294,-0.069348715,0.00074568513,54.449203
1346,569698332,3670026,3.8982391,3.535757,-19.4572,-0.5725264,-0.12314457,-0.055287223,54.49327
1347,569702095,3670026,4.119942,-5.542577,-16.545849,0.40394828,-0.058429755,-0.02514024,54.47858
1348,569705856,3670026,-3.3734303,-1.745373,9.347921,0.23510386,0.22184132,0.09241169,54.370872
1349,569709702,3670026,2.999456,2.5416846,-17.932571,-0.5903163,-0.17337179,-0.012037489,54.47858
1350,569712193,3670026,-6.446149,0.35577837,-1.148738,0.42514703,0.0026098979,0.07201187,54.410038
1351,569715926,3670026,0.79918456,7.257783,-12.30907,-0.87522125,-0.19803266,0.05235775,54.41983
