i,timestamp(ns),T_imu_wrt_vio_x(m),T_imu_wrt_vio_y(m),T_imu_wrt_vio_z(m),roll(rad),pitch(rad),yaw(rad),vel_imu_wrt_vio_x(m/s),vel_imu_wrt_vio_y(m/s),vel_imu_wrt_vio_z(m/s),angular_vel_x(rad/s),angular_vel_y(rad/s),angular_vel_z(rad/s),gravity_vector_x(m/s2),gravity_vector_y(m/s2),gravity_vector_z(m/s2),T_cam_wrt_imu_x(m),T_cam_wrt_imu_y(m),T_cam_wrt_imu_z(m),imu_to_cam_roll_x(rad),imu_to_cam_pitch_y(rad),imu_to_cam_yaw_z(rad),features,quality,state,error_code
10,592222156020,0.0004,0.0001,0.0004,-0.0008,-0.0016,-0.0002,0.001,-0.0,0.006,0.0,0.002,0.0,0.554,-0.446,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
11,592251514294,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.002,0.0,0.005,-0.001,-0.003,-0.001,0.555,-0.446,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
12,592290708756,0.0004,0.0001,0.0004,-0.0008,-0.0017,-0.0002,0.001,0.0,0.006,-0.001,-0.001,0.001,0.555,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
13,592320151458,0.0004,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.005,0.003,0.0,0.0,0.555,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
14,592349725710,0.0004,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.005,0.002,0.001,0.001,0.555,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
15,592389037305,0.0004,0.0001,0.0004,-0.0008,-0.0016,-0.0002,0.001,0.0,0.005,0.002,0.001,-0.002,0.555,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
16,592418555672,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.005,-0.001,-0.0,0.0,0.555,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
17,592448093170,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,-0.0,0.004,0.0,-0.001,-0.0,0.556,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
18,592487511223,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.004,-0.0,-0.003,0.0,0.556,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
19,592517134623,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.004,-0.0,-0.0,-0.0,0.556,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
20,592546759783,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.004,-0.001,0.001,-0.001,0.556,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
21,592586278158,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.004,-0.001,-0.002,-0.001,0.556,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
22,592615946627,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.004,0.002,0.003,0.0,0.557,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
23,592655535417,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.004,0.0,-0.002,0.0,0.557,-0.447,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
24,592685251435,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.003,-0.002,-0.003,0.0,0.557,-0.446,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
25,592715011408,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.003,-0.002,-0.001,0.002,0.557,-0.446,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
26,592748642267,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.003,0.0,0.001,0.001,0.557,-0.446,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
27,592788023367,0.0003,0.0001,0.0003,-0.0007,-0.0016,-0.0002,0.001,0.0,0.003,-0.0,-0.001,0.0,0.558,-0.446,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
28,592817647156,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.003,-0.0,-0.0,0.0,0.558,-0.445,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
29,592849279130,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.003,-0.001,-0.001,-0.0,0.558,-0.445,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
30,592888615141,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.003,0.001,-0.0,-0.0,0.558,-0.445,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
31,592918233577,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.003,-0.001,-0.001,-0.0,0.558,-0.444,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
32,592947798972,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.003,0.001,0.003,0.0,0.558,-0.444,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
33,592987276768,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.003,0.0,-0.002,0.0,0.558,-0.444,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
34,593017995998,0.0003,0.0001,0.0003,-0.0007,-0.0016,-0.0002,0.001,0.0,0.003,-0.0,-0.001,0.0,0.558,-0.444,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
35,593047554304,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.002,-0.001,-0.002,0.0,0.559,-0.444,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
36,593087004042,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.002,-0.003,-0.002,0.0,0.559,-0.443,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
37,593116649944,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,-0.0,0.002,0.003,0.003,0.0,0.559,-0.443,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
38,593146285565,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.002,-0.0,-0.001,-0.0,0.559,-0.443,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
39,593185852879,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.002,0.002,0.002,0.0,0.559,-0.442,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
40,593215638942,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.003,-0.001,-0.002,-0.0,0.559,-0.442,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
41,593253261903,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.0,0.0,0.003,0.002,0.003,0.001,0.559,-0.442,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
42,593282805551,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.002,-0.0,0.0,-0.0,0.559,-0.441,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
43,593322216004,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.002,0.002,0.005,-0.0,0.559,-0.441,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
44,593351758125,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,-0.0,0.002,0.001,0.001,0.001,0.559,-0.441,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
45,593381328710,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.002,0.001,0.001,0.001,0.56,-0.441,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
46,593420753225,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.002,0.001,-0.001,-0.0,0.56,-0.441,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
47,593450318630,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.002,0.001,0.0,0.001,0.56,-0.44,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
48,593479885422,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.002,0.001,-0.001,-0.0,0.56,-0.44,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
49,593519337896,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.002,0.0,-0.0,0.001,0.56,-0.44,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
50,593548975669,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.0,0.0,0.002,0.002,0.001,0.001,0.56,-0.44,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
51,593588463292,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.002,0.001,-0.001,-0.0,0.56,-0.44,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
52,593618066603,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.0,0.0,0.002,-0.0,-0.002,0.0,0.56,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
53,593647699295,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,-0.0,0.002,0.001,0.001,0.001,0.56,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
54,593687206339,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.002,-0.001,-0.0,-0.001,0.56,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
55,593716832309,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.002,0.003,0.002,0.0,0.56,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
56,593746471293,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.002,-0.002,-0.001,0.0,0.56,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
57,593786012292,0.0003,0.0001,0.0003,-0.0007,-0.0016,-0.0002,0.001,-0.0,0.003,0.0,0.0,-0.0,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
58,593815783608,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.002,0.0,-0.001,0.001,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
59,593855366019,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.003,-0.002,-0.002,0.0,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
60,593885077421,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.003,0.002,0.001,0.0,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
61,593914811544,0.0003,0.0001,0.0003,-0.0007,-0.0016,-0.0002,0.001,0.0,0.003,-0.002,-0.004,0.0,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
62,593954509102,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.003,0.002,0.001,0.0,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
63,593984294250,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.003,-0.001,-0.001,0.001,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
64,594014099075,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.0,-0.0,0.002,0.003,0.005,0.001,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
65,594053847236,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.003,-0.0,-0.002,-0.001,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
66,594083719739,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.0,-0.0,0.002,0.001,0.002,0.0,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
67,594113555397,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,-0.0,0.002,0.001,0.002,-0.001,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
68,594148338351,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.003,0.0,-0.001,0.001,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
69,594187975047,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.001,-0.0,0.003,0.003,0.001,0.001,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
70,594217661552,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,0.0,0.003,-0.001,-0.003,-0.001,0.56,-0.437,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
71,594247330684,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.0,-0.0,0.003,0.0,0.001,-0.0,0.56,-0.437,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
72,594282134066,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,-0.0,0.003,-0.001,-0.004,-0.0,0.56,-0.437,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
73,594321812083,0.0003,0.0001,0.0003,-0.0007,-0.0015,-0.0002,0.001,-0.0,0.003,0.003,0.004,-0.0,0.56,-0.437,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
74,594351466724,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.003,-0.001,-0.003,-0.0,0.56,-0.437,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
75,594381143368,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,-0.0,0.003,0.002,-0.003,-0.001,0.56,-0.437,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
76,594420701383,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.003,0.003,0.004,0.0,0.56,-0.437,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
77,594450360156,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.003,-0.002,-0.003,0.0,0.56,-0.437,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
78,594480040116,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,-0.0,0.003,0.003,0.002,-0.0,0.56,-0.437,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
79,594519693178,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.001,0.0,0.003,-0.002,0.001,0.0,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
80,594549363215,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.003,0.002,-0.005,-0.001,0.56,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
81,594579026078,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.0,0.0,0.003,-0.002,0.003,0.0,0.559,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
82,594618610831,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.001,-0.0,0.003,0.0,-0.006,0.0,0.559,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
83,594648328205,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.001,0.0,0.003,-0.0,0.001,0.001,0.559,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
84,594687929810,0.0003,0.0001,0.0003,-0.0007,-0.0014,-0.0002,0.001,0.0,0.003,0.0,-0.003,0.0,0.559,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
85,594717622724,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,-0.0,0.002,-0.001,0.001,-0.001,0.559,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
86,594747381841,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.0,0.0,0.002,0.001,0.006,0.0,0.559,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
87,594796895299,0.0003,0.0001,0.0004,-0.0007,-0.0014,-0.0002,0.001,0.0,0.003,0.002,0.004,0.0,0.559,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
88,594816714003,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.0,0.0,0.002,-0.001,0.005,0.001,0.559,-0.438,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
89,594846428917,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.001,0.0,0.002,0.001,-0.005,-0.001,0.559,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
90,594888192856,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.001,0.0,0.002,0.001,0.004,0.001,0.559,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
91,594918045974,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.001,0.0,0.002,0.0,-0.004,0.001,0.558,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
92,594947742490,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.0,0.0,0.002,-0.001,0.002,0.0,0.558,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
93,594987327527,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.001,0.0,0.002,-0.0,-0.002,0.001,0.558,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
94,595017018742,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.001,0.0,0.002,0.0,-0.001,-0.0,0.558,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
95,595046699761,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.0,0.0,0.002,-0.0,0.006,0.001,0.558,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
96,595086299213,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.001,0.0,0.002,-0.0,-0.003,0.0,0.558,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
97,595116059109,0.0003,0.0001,0.0003,-0.0008,-0.0015,-0.0002,0.0,0.0,0.002,-0.0,0.001,0.001,0.558,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
98,595145791427,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.001,0.0,0.002,0.001,0.001,0.0,0.558,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
99,595185459035,0.0003,0.0001,0.0003,-0.0008,-0.0014,-0.0002,0.0,0.0,0.003,-0.0,0.003,0.0,0.558,-0.439,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
