i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
37,559641201199,-1.21227,-0.24249,-9.70160,0.00475,-0.00065,-0.00030,41.05
38,559642084470,-1.15480,0.13495,-9.47233,0.00795,0.00148,-0.00562,41.05
39,559642967741,-1.08296,0.37861,-9.44367,0.00475,-0.00704,-0.00030,41.05
40,559643851012,-1.05423,0.46939,-9.69205,-0.00164,-0.01024,0.00077,41.05
41,559644734283,-0.99676,0.24961,-9.84012,-0.00484,-0.00491,0.00397,41.05
42,559645617554,-1.12127,-0.18516,-9.73504,-0.00271,0.00361,0.00184,41.05
43,559646500825,-1.17874,-0.07049,-9.51054,0.00155,0.00361,-0.00456,41.05
44,559647384096,-1.09254,0.33561,-9.41502,0.00582,-0.00278,-0.00349,41.05
45,559648267367,-1.08296,0.47417,-9.57264,0.00155,-0.01024,0.00184,41.06
46,559649150638,-1.03986,0.41206,-9.79235,-0.00164,-0.00597,0.00290,41.05
47,559650033909,-1.07817,-0.02749,-9.82579,-0.00058,0.00042,0.00610,41.05
48,559650917180,-1.18353,-0.21382,-9.65384,0.00155,0.00574,-0.00030,41.05
49,559651800451,-1.06860,0.23050,-9.45323,0.00688,0.00255,-0.00136,41.05
50,559652683722,-1.02549,0.43594,-9.45323,0.00582,-0.00491,-0.00030,41.06
51,559653566993,-1.03028,0.48372,-9.72071,0.00262,-0.01024,-0.00030,41.05
52,559654459649,-1.04465,0.15406,-9.84489,-0.00058,-0.00491,0.00503,41.06
53,559655352292,-1.21227,-0.21382,-9.69205,0.00049,-0.00065,0.00290,41.06
54,559656244935,-1.18353,0.04895,-9.47233,0.00688,-0.00384,-0.00136,41.06
55,559657137578,-1.10212,0.38339,-9.40546,0.00368,-0.00810,-0.00349,41.06
56,559658030221,-1.08296,0.50283,-9.63951,-0.00058,-0.01450,-0.00030,41.06
57,559658922864,-1.02070,0.32606,-9.84489,-0.00058,-0.01237,0.00503,41.06
58,559659815507,-1.09733,-0.11349,-9.83534,0.00475,-0.00384,0.00397,41.05
59,559660708150,-1.17395,-0.11827,-9.61563,0.00901,0.00042,-0.00136,41.05
60,559661600793,-1.08775,0.28784,-9.44845,0.01008,-0.00171,-0.00243,41.05
61,559662493436,-1.05902,0.41683,-9.53443,0.00688,-0.01237,0.00077,41.05
62,559663386079,-1.01592,0.43594,-9.76847,0.00155,-0.01130,0.00397,41.05
63,559664278722,-1.01592,0.05851,-9.85445,-0.00164,-0.00810,0.00716,41.05
64,559665171365,-1.15959,-0.21860,-9.68727,0.00155,-0.00597,0.00184,41.05
65,559666064008,-1.09254,0.16361,-9.46278,0.00262,-0.00810,-0.00349,41.05
66,559666957136,-1.06381,0.40250,-9.42457,0.00262,-0.01237,-0.00243,41.05
67,559667850253,-1.06860,0.50283,-9.67294,-0.00271,-0.01343,0.00077,41.05
68,559668743370,-1.01113,0.24484,-9.84012,-0.00697,-0.00597,-0.00030,41.05
69,559669636487,-1.14043,-0.18516,-9.75414,-0.00697,-0.00384,-0.00030,41.05
70,559670529604,-1.16917,-0.05616,-9.52965,0.00155,-0.00384,-0.00349,41.05
71,559671422721,-1.10212,0.30217,-9.40546,0.00155,-0.00597,-0.00669,41.05
72,559672315838,-1.11170,0.43594,-9.57264,0.00049,-0.01343,-0.00243,41.05
73,559673208955,-1.04465,0.38339,-9.79713,0.00155,-0.00917,0.00184,41.05
74,559674102072,-1.04944,-0.03227,-9.81624,0.00368,-0.00278,0.00184,41.05
75,559674995189,-1.14043,-0.17082,-9.63473,0.00688,0.00148,-0.00136,41.05
76,559675888306,-1.07338,0.26872,-9.47233,0.01114,-0.00278,-0.00456,41.04
77,559676781423,-1.06860,0.42161,-9.51054,0.00688,-0.00917,-0.00349,41.04
78,559677675905,-1.03986,0.44550,-9.76369,0.00262,-0.01237,-0.00030,41.04
79,559678570380,-0.98239,0.12062,-9.87355,0.00368,-0.00491,0.00503,41.04
80,559679464855,-1.12127,-0.23294,-9.72071,0.00475,0.00042,0.00184,41.03
81,559680359330,-1.12606,0.07284,-9.51532,0.00795,-0.00278,-0.00456,41.03
82,559681253805,-1.07338,0.39294,-9.43412,0.00582,-0.00917,-0.00349,41.03
83,559682148280,-1.05423,0.47894,-9.61085,-0.00058,-0.01343,0.00290,41.03
84,559683042755,-1.00634,0.30217,-9.80668,-0.00377,-0.00704,0.00610,41.03
85,559683937230,-1.09733,-0.11827,-9.77325,-0.00377,-0.00171,0.00610,41.03
86,559684831705,-1.15001,-0.11827,-9.57741,-0.00058,0.00468,-0.00030,41.03
87,559685726180,-1.05423,0.30217,-9.46278,0.00368,-0.00278,-0.00456,41.03
88,559686620655,-1.03028,0.43594,-9.54876,0.00368,-0.01237,-0.00136,41.03
89,559687513555,-0.98239,0.43117,-9.80191,-0.00058,-0.00597,0.00290,41.03
90,559688406445,-0.99676,0.08239,-9.89743,-0.00164,-0.00065,0.00184,41.03
91,559689299335,-1.17395,-0.23294,-9.71115,0.00155,0.00574,-0.00030,41.03
92,559690192225,-1.12606,0.13495,-9.49621,0.00475,0.00042,-0.00349,41.03
93,559691085115,-1.06860,0.42161,-9.45323,0.00368,-0.00810,-0.00562,41.03
94,559691978005,-1.06381,0.46939,-9.69683,-0.00164,-0.01024,-0.00030,41.03
95,559692870895,-1.03028,0.20661,-9.84489,0.00049,-0.00278,0.00184,41.03
96,559693763785,-1.15480,-0.19471,-9.74459,-0.00058,0.00148,-0.00030,41.03
97,559694656675,-1.16438,-0.06094,-9.52010,0.00475,0.00148,-0.00456,41.03
98,559695549565,-1.07338,0.32606,-9.42935,0.00475,-0.00278,-0.00562,41.03
99,559696442455,-1.08775,0.46461,-9.59174,0.00262,-0.00597,-0.00669,41.03
