i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
48,591922364933,-0.26882,0.00595,-9.48189,0.00049,-0.00278,-0.0003,36.75
49,591923248412,-0.28319,0.11584,-9.67772,-0.00271,-0.00278,-0.0003,36.75
50,591924131891,-0.24488,0.31172,-9.82579,0.00368,-0.00065,-0.00456,36.75
51,591925015370,-0.34066,-0.03227,-9.73026,0.00901,-0.00171,0.00184,36.75
52,591925898849,-0.35502,-0.2186,-9.58219,0.00475,-0.00065,0.00077,36.75
53,591926782328,-0.25924,0.00595,-9.44845,0.00368,0.00148,-0.00456,36.75
54,591927665807,-0.28319,-0.01794,-9.46756,0.00155,-0.00278,-0.00349,36.75
55,591928549286,-0.26882,0.19706,-9.67294,0.00155,-0.00065,-0.00349,36.75
56,591929432765,-0.26403,0.24961,-9.73504,0.00582,-0.00065,0.0029,36.75
57,591930317157,-0.3646,-0.18994,-9.63473,0.00582,0.00255,0.00397,36.75
58,591931201542,-0.31671,-0.18516,-9.51054,0.00368,0.00361,-0.00136,36.75
59,591932085927,-0.25445,-0.00361,-9.458,-0.00164,-0.00278,-0.00243,36.75
60,591932970312,-0.29756,-0.00838,-9.54876,-0.00271,-0.00384,-0.00136,36.74
61,591933854697,-0.25924,0.2735,-9.73504,-0.00164,-0.00171,-0.00456,36.75
62,591934739082,-0.26403,0.11584,-9.7828,0.00155,-0.00065,0.0029,36.75
63,591935623467,-0.30713,-0.24727,-9.64428,0.00475,-0.00065,0.00184,36.75
64,591936507852,-0.23051,-0.08005,-9.51532,0.00582,-0.00171,-0.00136,36.75
65,591937392237,-0.22093,0.01551,-9.50099,0.00368,-0.00597,-0.00456,36.74
66,591938276622,-0.24488,0.1015,-9.63473,0.00049,-0.00491,-0.00456,36.74
67,591939161007,-0.22572,0.32128,-9.77325,0.00049,-0.00171,-0.00349,36.74
68,591940045311,-0.30713,0.00117,-9.73504,0.00262,0.00042,-0.00136,36.74
69,591940929611,-0.31192,-0.24249,-9.61563,0.00049,0.00894,-0.00456,36.74
70,591941813911,-0.24488,-0.05616,-9.49621,-0.00058,0.00361,-0.00456,36.74
71,591942698211,-0.28798,-0.05616,-9.49144,-0.00164,-0.00171,0.0029,36.74
72,591943582511,-0.26882,0.13973,-9.72071,-0.00377,-0.00384,0.00503,36.74
73,591944466811,-0.25445,0.29739,-9.83534,0.00368,-0.00704,0.00716,36.74
74,591945351111,-0.33587,-0.0896,-9.71115,0.00582,-0.00491,0.0061,36.74
75,591946235411,-0.30713,-0.2186,-9.57741,0.00688,0.00042,-0.0003,36.74
76,591947119711,-0.24488,-0.01794,-9.47233,0.00368,-0.00278,-0.00136,36.74
77,591948004011,-0.28319,-0.01794,-9.52965,-0.00164,-0.00491,0.0029,36.74
78,591948888311,-0.25924,0.26395,-9.74459,-0.0059,-0.00491,0.0029,36.74
79,591949771912,-0.25924,0.22095,-9.7828,0.00049,-0.00278,0.0061,36.74
80,591950655490,-0.33108,-0.20905,-9.64906,0.00475,-0.00278,0.00184,36.74
81,591951539068,-0.25445,-0.1326,-9.52487,0.00582,-0.00491,-0.0003,36.74
82,591952422646,-0.22572,-0.02272,-9.48666,0.00262,-0.0081,0.00077,36.74
83,591953306224,-0.2784,0.02506,-9.6013,-0.00164,-0.00917,0.00184,36.74
84,591954189802,-0.24009,0.32606,-9.77802,0.00155,-0.00171,0.00184,36.74
85,591955073380,-0.25445,0.09673,-9.7828,0.00475,0.00148,0.0029,36.74
86,591955956958,-0.29277,-0.24727,-9.6013,0.00582,-0.00278,-0.0003,36.74
87,591956840536,-0.24009,-0.07527,-9.48189,0.00475,-0.00491,-0.0003,36.74
88,591957724114,-0.26403,-0.02749,-9.48666,0.00475,-0.0081,0.00077,36.74
89,591958607692,-0.29277,0.09195,-9.64906,0.00155,-0.00597,0.0029,36.74
90,591959491270,-0.26403,0.32128,-9.79235,0.00262,-0.00171,0.0029,36.74
91,591960374848,-0.3215,-0.02272,-9.73026,0.00688,-0.00171,0.0029,36.74
92,591961258426,-0.30234,-0.21382,-9.62518,0.00582,-0.00278,-0.00349,36.74
93,591962142004,-0.22572,-0.02272,-9.51532,0.00688,-0.00278,-0.00136,36.74
94,591963025582,-0.27361,-0.07049,-9.5392,0.00155,-0.0081,-0.00136,36.74
95,591963909160,-0.28798,0.15406,-9.75892,-0.00058,-0.00384,-0.00243,36.75
96,591964792738,-0.28319,0.26872,-9.81624,0.00262,-0.00491,0.00184,36.74
97,591965676316,-0.35502,-0.14216,-9.67772,0.00475,0.00042,-0.00136,36.74
98,591966559894,-0.31192,-0.20427,-9.56308,0.00475,0.00042,-0.00562,36.73
99,591967443472,-0.25924,-0.00838,-9.49621,0.00262,-0.00278,-0.00349,36.73
