i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
61,591939335347,-0.14491,0.04095,-9.67146,-0.00246,9e-05,0.00341,49.81
62,591940323862,-0.14491,0.06487,-9.69544,-0.00299,-0.00031,0.00315,49.81
63,591941312377,-0.14491,0.084,-9.7386,-0.00339,-0.00097,0.00315,49.81
64,591942300892,-0.13535,0.06965,-9.75299,-0.00286,-0.00111,0.00328,49.81
65,591943289407,-0.13058,0.05052,-9.71942,-0.00193,-0.00084,0.00328,49.81
66,591944277922,-0.14013,0.04573,-9.69065,-0.0014,-0.00031,0.00301,49.81
67,591945266437,-0.15447,0.06965,-9.70983,-0.00153,9e-05,0.00288,49.81
68,591946254952,-0.15925,0.08879,-9.75299,-0.0018,0.00049,0.00288,49.81
69,591947243467,-0.15447,0.07444,-9.75779,-0.00153,0.00076,0.00315,49.81
70,591948232040,-0.14969,0.04573,-9.72422,-0.00113,0.00089,0.00328,49.81
71,591949220609,-0.14969,0.04095,-9.68585,-0.001,0.00062,0.00315,49.81
72,591950209178,-0.15925,0.06487,-9.69065,-0.00153,9e-05,0.00301,49.81
73,591951197747,-0.16403,0.084,-9.72901,-0.00193,-0.00031,0.00301,49.81
74,591952186316,-0.15447,0.07922,-9.7482,-0.00153,-0.00017,0.00328,49.8
75,591953174885,-0.14969,0.0553,-9.71463,-0.00046,-4e-05,0.00341,49.8
76,591954163454,-0.14969,0.04573,-9.67146,0.0002,-4e-05,0.00328,49.8
77,591955152023,-0.15447,0.06009,-9.67626,0.0002,-0.00057,0.00301,49.8
78,591956140592,-0.15925,0.084,-9.72422,-6e-05,-0.00124,0.00288,49.8
79,591957129161,-0.15447,0.07444,-9.7482,-6e-05,-0.00124,0.00262,49.8
80,591958117994,-0.14491,0.05052,-9.72422,0.00047,-0.00071,0.00235,49.8
81,591959106824,-0.14491,0.04573,-9.68585,0.0006,-0.00017,0.00168,49.8
82,591960095654,-0.14969,0.06487,-9.69065,-6e-05,-4e-05,0.00142,49.8
83,591961084484,-0.15447,0.09357,-9.72901,-0.00073,-0.00017,0.00155,49.8
84,591962073314,-0.14969,0.09357,-9.75779,-0.00073,-0.00031,0.00195,49.8
85,591963062144,-0.14013,0.06965,-9.73381,-6e-05,-0.00017,0.00235,49.8
86,591964050974,-0.14491,0.0553,-9.69065,0.00033,-0.00017,0.00248,49.81
87,591965039804,-0.15447,0.06487,-9.68585,0.0002,-0.00031,0.00262,49.81
88,591966028634,-0.16403,0.08879,-9.72422,-0.00033,-0.00044,0.00301,49.81
89,591967017464,-0.16403,0.084,-9.75299,-0.00033,-0.00017,0.00341,49.81
90,591968007301,-0.15447,0.06009,-9.7386,0.00033,0.00022,0.00368,49.81
91,591968997138,-0.14969,0.04095,-9.70024,0.00087,0.00062,0.00355,49.81
92,591969986975,-0.15925,0.05052,-9.69544,0.00073,0.00049,0.00301,49.81
93,591970976812,-0.16403,0.07922,-9.73381,-0.0002,-4e-05,0.00262,49.8
94,591971966649,-0.15925,0.084,-9.76738,-0.0006,-4e-05,0.00248,49.81
95,591972956486,-0.14491,0.06009,-9.75299,-0.0002,0.00036,0.00248,49.81
96,591973946323,-0.14013,0.04095,-9.70983,0.00033,0.00102,0.00248,49.8
97,591974936160,-0.14491,0.0553,-9.69544,0.0002,0.00102,0.00235,49.8
98,591975925997,-0.15447,0.07922,-9.72901,-0.0006,0.00089,0.00248,49.81
99,591976915834,-0.15447,0.08879,-9.76258,-0.001,0.00062,0.00288,49.81
