timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
613435830,0,1724403633250287,0,593948698,246600472,32606,51197,0.120000005,0.05622805,0.74,1.388,1.29,2.51,86,46,1.8030001,-1.7820001,-0.27400002,-0.085,3.3495848,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
613559480,0,1724403633375287,0,593948671,246600471,32635,51226,0.14,0.043290623,0.73800004,1.386,1.29,2.51,86,46,2.4280002,-2.427,-0.054,-0.17600001,3.2328584,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
613686662,0,1724403633500287,0,593948648,246600462,32626,51217,0.12900001,0.05515223,0.73600006,1.3840001,1.29,2.51,86,46,2.1160002,-2.0730002,-0.425,-0.148,3.2753303,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
613811430,0,1724403633625287,0,593948622,246600465,32679,51270,0.136,0.044895798,0.735,1.3820001,1.24,2.74,86,46,2.3260002,-2.3230002,0.117000006,-0.319,3.164422,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
613932776,0,1724403633750287,0,593948600,246600465,32710,51301,0.12200001,0.049667705,0.734,1.3800001,1.24,2.74,86,46,2.005,-2.003,-0.091000006,-0.33100003,3.174673,0,,0.0,0.0,0.0,0,3,2,1,1,11,0
614057650,0,1724403633875287,0,593948586,246600465,32659,51250,0.125,0.08223869,0.73200005,1.378,1.24,2.5,86,46,1.2470001,-1.246,-0.040000003,-0.07,3.174498,0,,0.0,0.0,0.0,0,3,2,1,1,11,0
614213116,0,1724403634000287,0,593948574,246600465,32616,51207,0.12100001,0.092652544,0.731,1.376,1.24,2.5,86,38,1.0990001,-1.097,-0.071,-0.017,3.1886668,0,,0.0,0.0,0.0,0,3,2,1,1,11,0
614308220,0,1724403634125287,0,593948569,246600467,32661,51252,0.136,0.13931847,0.72900003,1.3750001,1.24,2.5,86,38,0.568,-0.55600005,0.116000004,-0.193,3.1114187,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
614439426,0,1724403634250287,0,593948566,246600468,32663,51254,0.14600001,0.29038298,0.72800004,1.373,1.24,2.5,86,38,0.279,-0.27800003,0.028,-0.179,3.0980387,0,,0.0,0.0,0.0,0,3,2,1,1,11,0
614558756,0,1724403634375287,0,593948565,246600468,32714,51305,0.157,0.45211777,0.72700006,1.3720001,1.24,2.5,86,38,0.187,-0.16700001,0.083000004,-0.24700001,2.9766753,0,,0.0,0.0,0.0,0,3,2,1,1,11,0
614687646,0,1724403634500287,0,593948563,246600468,32726,51316,0.162,0.60363555,0.725,1.371,1.24,2.5,86,38,0.165,-0.157,-0.051000003,-0.187,3.1491156,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
614810210,0,1724403634625287,0,593948566,246600464,32765,51356,0.22500001,0.4503143,0.725,1.3700001,1.24,2.74,86,38,0.231,0.192,-0.127,-0.22800002,4.7872286,0,,0.0,0.0,0.0,0,3,2,1,1,11,0
614936050,0,1724403634750287,0,593948571,246600461,32850,51440,0.20600002,0.24507302,0.72300005,1.3690001,1.24,2.74,86,38,0.37300003,0.36200002,-0.091000006,-0.35500002,5.751602,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
615059662,0,1724403634875287,0,593948570,246600459,32875,51466,0.21400002,0.24507529,0.72200006,1.3670001,1.24,2.74,86,38,0.097,-0.026,-0.093,-0.31800002,5.751602,0,,0.0,0.0,0.0,0,3,2,1,1,11,0
615218168,0,1724403635000287,0,593948573,246600456,32924,51515,0.22700001,0.43900648,0.721,1.366,1.24,2.5,86,46,0.29500002,0.272,-0.115,-0.41500002,5.782776,0,,0.0,0.0,0.0,0,3,2,1,1,11,0
615313808,0,1724403635125287,0,593948574,246600451,32988,51579,0.21900001,0.78074247,0.72,1.365,1.24,2.5,86,46,0.16800001,0.049000002,-0.16000001,-0.42000002,5.5971456,0,,0.0,0.0,0.0,0,3,2,1,1,11,0
