timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
605642636,3670026,3670026,0,0,233,0,0,0,0,0,798.7161,798.7161,3993.5806,7987.161,1.546151,0.06704662,1.13346935e-07,0.0055295834,0.29793093,-10.46152,-0.016604787,0.09013501,-0.022297904,12.440656,15.8624935,57.16678,0.057261307,0.04137544,0.013002835,43.93629,43.93629
605742836,3670026,3670026,0,0,233,0,0,0,0,0,798.7162,798.7162,3993.5808,7987.1616,1.8284558,0.07398671,2.0496792e-07,0.018452382,0.3854555,-11.666811,-0.08329712,0.12540068,0.015106415,122.21045,26.889935,268.8445,0.21812966,0.07597073,0.018823953,43.972282,43.972282
605842948,3670026,3670026,0,0,233,0,0,0,0,0,798.7163,798.7163,3993.5813,7987.1626,1.8915719,0.074017875,2.425503e-07,-0.09901075,0.38606966,-13.390877,0.21203177,-0.08210777,0.0017847245,65.38125,28.900988,424.16232,0.26252642,0.121380486,0.013918447,43.97999,43.97999
605943179,3670026,3670026,0,0,233,0,0,0,0,0,798.71606,798.71606,3993.5803,7987.1606,2.1639123,0.08993988,4.7603444e-07,0.1550535,0.27247232,-11.771237,-0.13441047,-0.184649,0.028261485,165.12141,84.94109,365.70303,0.404468,0.38832465,0.026012482,43.95998,43.95998
606043270,3670026,3670026,0,0,233,0,0,0,0,0,798.7164,798.7164,3993.5818,7987.1636,2.4134104,0.09447968,3.582616e-07,0.030827537,0.4328616,-10.322086,-0.3441783,-0.106813446,0.05192126,88.303375,37.621887,1066.2869,0.43150824,0.104273796,0.011099238,43.942787,43.942787
606143448,3670026,3670026,0,0,233,0,0,0,0,0,798.71643,798.71643,3993.5823,7987.1646,2.4462776,0.09986654,1.08997156e-07,-0.13653053,0.31351578,-11.854837,-0.07027055,-0.008071616,0.034124594,63.143154,73.23266,358.3385,0.5132385,0.0506854,0.006499298,43.904953,43.904953
606243846,3670026,3670026,0,0,233,0,0,0,0,0,798.7164,798.7164,3993.5818,7987.1636,2.5851388,0.10655161,1.5596746e-07,-0.23420164,0.34380493,-10.968297,-0.24499013,-0.056313887,0.05219279,137.50839,24.617022,405.87015,0.13326354,0.10043767,0.009450916,43.847984,43.847984
606343943,3670026,3670026,0,0,233,0,0,0,0,0,798.7166,798.7166,3993.583,7987.166,2.6742587,0.11007972,1.484707e-07,0.11555239,0.29949826,-10.357513,-0.036843687,0.009950739,0.08507024,54.125546,35.612793,207.86679,0.30954722,0.014717951,0.012308436,43.824417,43.824417
606444049,3670026,3670026,0,0,233,0,0,0,0,0,798.7167,798.7167,3993.5833,7987.1665,2.8154955,0.11150818,1.8841288e-07,0.14684409,0.18168211,-10.260033,0.26632613,-0.033326518,0.06371124,65.85549,34.74535,509.87695,0.2892863,0.028718678,0.010431177,43.832615,43.832615
606544102,3670026,3670026,0,0,233,0,0,0,0,0,798.71674,798.71674,3993.5837,7987.1675,3.2804663,0.121853694,3.8529652e-07,-0.14510459,0.23244916,-10.654125,0.042984765,-0.21733813,0.03690979,95.771225,29.680225,1137.2109,0.43349716,0.04714331,0.019861504,43.843876,43.843876
