timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
604437379,604335226,3670026,-0.00863716,-0.00255839,0.0018061368,0.15,1.911885e-07,1.9118478e-07,4.1735262e-07,3670026,0.000947164,0.06208661,-0.36344722,0.4,0.00049931137,0.0004993045,0.0004984162,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
604567402,604465430,3670026,-0.0086248,-0.0025630053,0.0018033634,0.15,1.9124782e-07,1.9124383e-07,4.1796517e-07,3670026,0.00094581564,0.062077474,-0.36496285,0.4,0.00049932435,0.0004993175,0.000498418,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
604697416,604595636,3670026,-0.008627716,-0.0025636442,0.0017990845,0.15,1.912955e-07,1.9129129e-07,4.178833e-07,3670026,0.00094452046,0.06207911,-0.36611053,0.4,0.00049933523,0.00049932837,0.0004984178,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
604817275,604715825,3670026,-0.008615901,-0.0025688997,0.0017944876,0.15,1.9125106e-07,1.9124668e-07,4.1770264e-07,3670026,0.0009421472,0.062069606,-0.36768517,0.4,0.0004993463,0.0004993394,0.00049841875,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
604947598,604846030,3670026,-0.008630757,-0.0025737437,0.0017896255,0.15,1.9129665e-07,1.912921e-07,4.1762266e-07,3670026,0.00093535794,0.062079594,-0.36934412,0.4,0.00049935805,0.00049935124,0.0004984195,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
605068414,604966222,3670026,-0.008630728,-0.0025730089,0.0017840466,0.15,1.912489e-07,1.9124415e-07,4.174404e-07,3670026,0.00093530625,0.062079035,-0.37099493,0.4,0.000499366,0.00049935916,0.0004984174,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
605208291,605106441,3670026,-0.008625389,-0.0025814574,0.0017789704,0.15,1.9137707e-07,1.9137218e-07,4.1746324e-07,3670026,0.000929083,0.062073138,-0.37267962,0.4,0.00049938034,0.00049937353,0.00049841986,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
605308350,605206599,3670026,-0.00862456,-0.002593685,0.0017762462,0.15,1.9114864e-07,1.911436e-07,4.1777483e-07,3670026,0.0009196112,0.062070213,-0.37415916,0.4,0.00049938884,0.00049938203,0.0004984201,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
605438655,605336804,3670026,-0.008629999,-0.0025902016,0.0017716411,0.15,1.9120992e-07,1.912047e-07,4.176965e-07,3670026,0.0009207936,0.062074497,-0.37600994,0.4,0.0004994006,0.00049939373,0.0004984208,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
605568559,605467009,3670026,-0.008626143,-0.0025987378,0.0017677121,0.15,1.9126064e-07,1.9125534e-07,4.176186e-07,3670026,0.0009145217,0.062070042,-0.3772919,0.4,0.0004994122,0.0004994054,0.00049842143,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
605688950,605587198,3670026,-0.008622137,-0.0025960477,0.0017668736,0.15,1.9122098e-07,1.9121548e-07,4.1813192e-07,3670026,0.00091712724,0.062067907,-0.3783864,0.4,0.0004994233,0.0004994165,0.0004984223,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,0,1,0,1,0
605818959,605717404,3670026,-0.008622345,-0.0025990892,0.0017655777,0.15,1.9125642e-07,1.9125112e-07,4.1805325e-07,3670026,0.0009122498,0.062069777,-0.38026074,0.4,0.00049943314,0.00049942627,0.00049842196,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,0,1,0,1,0
605939410,605837594,3670026,-0.008620742,-0.002581576,0.0017656463,0.15,1.9115e-07,1.9114555e-07,4.1786987e-07,3670026,0.0009521146,0.06207389,-0.38265494,0.4,0.00049943547,0.00049942837,0.0004984217,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,0,1,0,1,0
606069870,605967799,3670026,-0.0086300755,-0.0026027744,0.0017585587,0.15,1.9111518e-07,1.911116e-07,4.177816e-07,3670026,0.0008781367,0.06210379,-0.3838267,0.4,0.00049943454,0.0004994271,0.0004984223,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,0,1,0,1,0
606209765,606108019,3670026,-0.008566775,-0.002592663,0.0017570044,0.15,1.9115906e-07,1.9115642e-07,4.1779543e-07,3670026,0.0009163176,0.06190903,-0.3856113,0.4,0.000499435,0.00049942697,0.00049842376,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,0,1,0,1,0
606309940,606208178,3670026,-0.0086065605,-0.0026396737,0.0017572149,0.15,1.9084467e-07,1.9084293e-07,4.1809892e-07,3670026,0.00073490036,0.06204827,-0.387332,0.4,0.0004994274,0.0004994187,0.0004984229,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,0,1,0,1,0
606440415,606338382,3670026,-0.008621922,-0.0026235646,0.0017647423,0.15,1.9083137e-07,1.9083029e-07,4.1802286e-07,3670026,0.0007757687,0.062118147,-0.38914683,0.4,0.00049942604,0.0004994167,0.0004984245,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,0,1,0,1,0
606570086,606468587,3670026,-0.008616885,-0.002623328,0.0017711642,0.15,1.908236e-07,1.9082296e-07,4.1794797e-07,3670026,0.0007730248,0.06211165,-0.39029828,0.4,0.00049942586,0.0004994159,0.00049842487,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,0,1,0,1,0
