timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
603190327,603190068,4.895643e-11,0.0021362472,6.745889e-11,0.0021362472,,,,,,,,,0
603194043,603193774,5.739363e-11,0.0021362475,0.0,0.002136247,,,,,,,,,0
603196586,603196244,7.906408e-12,0.0021362472,0.0,0.0021362472,,,,,,,,,0
603200254,603199950,2.7083622e-12,0.0013911782,0.0025087816,0.00037253447,,,,,,,,,0
603203954,603203661,0.0021362472,0.0,0.0021362472,2.0209067e-11,,,,,,,,,0
603207684,603207360,0.000777993,0.0029142404,1.15214754e-10,0.000580261,,,,,,,,,0
603211328,603211066,0.0,0.002136247,1.7713428e-11,0.002136247,,,,,,,,,0
603215058,603214772,0.0,0.0021362472,5.3228803e-11,0.0021362475,,,,,,,,,0
603217593,603217242,1.1467827e-10,0.0021362472,1.7370549e-12,0.002136247,,,,,,,,,0
603221241,603220948,0.00052185636,1.4410025e-11,0.00080719544,0.0029434427,,,,,,,,,0
603224929,603224654,3.25101e-11,0.002136247,0.0,0.0021362477,,,,,,,,,0
603228637,603228359,5.407129e-11,0.0021362468,1.7875935e-10,0.0021362472,,,,,,,,,0
603234870,603234535,2.895963e-11,0.002136247,1.4566336e-10,0.0021362477,,,,,,,,,0
603236101,603235770,2.670549e-11,0.002136247,2.3983402e-12,0.0021362472,,,,,,,,,0
603238535,603238250,0.0,0.0021362472,6.269551e-12,0.0021362472,,,,,,,,,0
603244689,603244417,0.000664432,0.002800679,0.0008073833,7.1256334e-11,,,,,,,,,0
603245934,603245652,0.0001046522,0.0022408995,0.0019269427,4.7751456e-11,,,,,,,,,0
603249638,603249357,0.0008373059,0.0012989513,0.0021362575,9.933028e-11,,,,,,,,,0
603253330,603253063,0.0021362575,0.0,0.0021362575,7.2088065e-12,,,,,,,,,0
603257024,603256768,0.0018371233,1.2839202e-11,0.0022858246,0.00014956701,,,,,,,,,0
603259501,603259238,8.800499e-11,0.0018648834,0.0022719444,0.00013568686,,,,,,,,,0
603263217,603262950,3.5639477e-11,0.0021362572,0.0,0.0021362577,,,,,,,,,0
603266984,603266650,1.0464601e-11,0.0021362572,0.0,0.0021362577,,,,,,,,,0
603270630,603270359,9.306768e-11,0.0021362575,2.3347647e-11,0.0021362575,,,,,,,,,0
603274376,603274061,0.0004974898,0.0026337474,0.0011412777,9.7306246e-11,,,,,,,,,0
603278072,603277766,0.0006766671,0.0014595899,0.0021362575,2.224455e-10,,,,,,,,,0
603280494,603280237,0.0005508097,0.0026870675,0.0010346379,3.4507147e-11,,,,,,,,,0
603284214,603283942,0.0,0.0021362575,3.609433e-11,0.0021362572,,,,,,,,,0
603287914,603287648,2.9744877e-11,0.0021362572,2.8462784e-11,0.0021362575,,,,,,,,,0
603292873,603292589,0.0009678368,1.5082949e-11,0.0010774432,0.002227235,,,,,,,,,0
603295393,603295059,0.00019230472,1.1156173e-10,0.0009719763,0.003108234,,,,,,,,,0
603299156,603298768,2.8794252e-11,0.0021362577,0.0,0.002136258,,,,,,,,,0
603302756,603302474,1.2416783e-11,0.0021362572,0.0,0.0021362577,,,,,,,,,0
603305257,603304940,1.3290204e-11,0.0021362575,7.402129e-11,0.0021362577,,,,,,,,,0
603308978,603308646,0.0,0.0021362577,4.078824e-12,0.0021362575,,,,,,,,,0
603312674,603312352,0.0,0.0021362577,1.943333e-11,0.0021362572,,,,,,,,,0
603316375,603316057,0.00012513455,0.0020111233,0.0021362575,4.5069753e-11,,,,,,,,,0
603320023,603319762,0.001149674,0.0009865835,0.0021362575,2.22753e-11,,,,,,,,,0
603322534,603322241,0.000669745,0.0014665127,0.0021362575,2.475846e-11,,,,,,,,,0
603326239,603325938,5.3869367e-11,0.0020998965,0.0021544376,1.8180526e-05,,,,,,,,,0
603329922,603329644,1.0339639e-11,0.0015380253,0.0024353736,0.0002991159,,,,,,,,,0
603333671,603333350,1.9092242e-11,0.0014953793,0.00032043885,0.0024566965,,,,,,,,,0
603337371,603337055,1.3771866e-11,0.0021362575,1.02643456e-10,0.0021362575,,,,,,,,,0
603342270,603341996,7.62554e-11,0.0021362572,4.0159924e-11,0.0021362575,,,,,,,,,0
603343502,603343231,0.0,0.0021362575,4.9501653e-12,0.0021362575,,,,,,,,,0
603347252,603346937,0.00077492825,0.002237278,9.496852e-11,0.0012603085,,,,,,,,,0
603352174,603351878,0.00043583932,0.0017004282,0.0021362677,8.996147e-11,,,,,,,,,0
603354616,603354348,0.0013279845,0.0008082832,0.0021362677,2.5663326e-11,,,,,,,,,0
603358309,603358053,0.0014966258,0.00016538374,0.0023733967,0.00023712922,,,,,,,,,0
603362031,603361759,1.0052253e-05,2.255748e-11,0.0031993757,0.0010631076,,,,,,,,,0
603364503,603364230,1.1250541e-10,0.0021362675,0.001775849,0.0003604187,,,,,,,,,0
603368238,603367936,1.222418e-11,0.0021362677,0.0,0.002136268,,,,,,,,,0
603371910,603371640,1.44656995e-11,0.0021362675,1.892611e-10,0.002136268,,,,,,,,,0
603375615,603375346,3.0470315e-10,0.0021362675,4.4542807e-11,0.0021362675,,,,,,,,,0
603379316,603379051,1.2967172e-10,0.002136268,1.03158926e-10,0.0021362677,,,,,,,,,0
603383036,603382757,0.0,0.002136268,4.776507e-11,0.0021362677,,,,,,,,,0
603385493,603385227,0.0010044416,0.0031407094,1.7177964e-11,0.00012738445,,,,,,,,,0
603389250,603388933,0.0011391689,0.0009970991,0.0021362673,3.708341e-12,,,,,,,,,0
603392952,603392638,0.0012536957,2.328426e-11,0.002577554,0.00044128587,,,,,,,,,0
