timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
585613091,585489780,0,-8.900258,0.034359746,-0.20666122,0.63316953,0.007494721
585743025,585618418,0,-8.912262,0.03445036,-0.20795631,0.6334015,0.007586171
585873254,585747812,0,-8.921853,0.034531206,-0.1658144,0.6336174,0.0048214193
585993372,585869808,0,-8.929153,0.03445235,-0.12647152,0.6334353,0.0028056968
586114244,585989124,0,-8.935422,0.034382034,-0.10880947,0.6332697,0.002077314
586284320,586165278,0,-8.943379,0.035073973,-0.13562965,0.6350503,0.0032185384
586364107,586244694,0,-8.947397,0.034332648,-0.06983948,0.633207,0.00085588166
586494328,586371764,0,-8.951521,0.0344265,-0.071499825,0.6334469,0.0008967208
586604645,586481668,0,-8.9531145,0.03420839,-0.027789116,0.6329904,0.00013555321
586744993,586620908,0,-8.955633,0.03446685,-0.043632507,0.63359976,0.0003338588
586864972,586745440,0,-8.9590025,0.03439523,-0.058465958,0.63338053,0.0005996515
586995121,586871680,0,-8.9619055,0.034482148,-0.05026245,0.6335346,0.00044307217
587105454,586984648,0,-8.963336,0.03425741,-0.02490902,0.632916,0.00010892428
587275907,587152664,0,-8.966419,0.034961913,-0.05266857,0.6344553,0.00048580227
587365790,587241072,0,-8.969365,0.03438289,-0.051115036,0.6330853,0.00045855626
587486068,587366882,0,-8.9707365,0.034319133,-0.023824692,0.63283604,9.966001e-05
587606390,587481538,0,-8.972817,0.034261916,-0.036221504,0.63259685,0.00023044295
587736430,587612142,0,-8.974265,0.03436153,-0.02512741,0.6327272,0.00011087572
587856868,587739720,0,-8.97625,0.034299035,-0.03448677,0.6324747,0.00020893893
587996957,587872362,0,-8.977683,0.034544807,-0.024748802,0.6329496,0.000107521846
588107313,587982264,0,-8.978902,0.034311097,-0.021162987,0.63239294,7.869088e-05
588267478,588150648,0,-8.980938,0.034856446,-0.03484726,0.63348323,0.0002129902
588357565,588236822,0,-8.981941,0.034286458,-0.017432213,0.63215584,5.3411946e-05
589269090,589143796,0,-8.984784,0.034918666,-0.041542053,0.63305515,0.00030289483
589359317,589235874,0,-8.985953,0.03433995,-0.020271301,0.6316857,7.228026e-05
589479728,589362686,0,-8.987487,0.034276675,-0.026619911,0.6315018,0.0001246798
