timestamp,process_load,system_load,ram_usage,platform[0],platform[1],platform[2],platform[3],platform[4]
596919344,0.8095646,0.8095646,0.77605546,78,85,84,84,88
597419449,0.8089977,0.8089977,0.77605546,78,85,84,84,88
597919067,0.80677605,0.80677605,0.77605546,78,85,84,84,88
598419704,0.80647635,0.80647635,0.77605546,78,85,84,84,88
598919095,0.80452704,0.80452704,0.77605546,78,85,84,84,88
599419076,0.8062457,0.8062457,0.77605546,78,85,84,84,88
599919451,0.8044845,0.8044845,0.77605546,78,85,84,84,88
600419089,0.8060464,0.8060464,0.77605546,78,85,84,84,88
600919318,0.80603397,0.80603397,0.77605546,78,85,84,84,88
601419068,0.80053544,0.80053544,0.77605546,78,85,84,84,88
601920048,0.80642664,0.80642664,0.77605546,78,85,84,84,88
602420388,0.80764115,0.80764115,0.77605546,78,85,84,84,88
602919120,0.8086941,0.8086941,0.77605546,78,85,84,84,88
603419736,0.8118926,0.8118926,0.77605546,78,85,84,84,88
603919110,0.8072853,0.8072853,0.77605546,78,85,84,84,88
604419096,0.8131921,0.8131921,0.77605546,78,85,84,84,88
604919123,0.8068737,0.8068737,0.77605546,78,85,84,84,88
605419131,0.80715513,0.80715513,0.77605546,78,85,84,84,88
605920060,0.81198716,0.81198716,0.77605546,78,85,84,84,88
606419065,0.81226647,0.81226647,0.77605546,78,85,84,84,88
606919092,0.8114474,0.8114474,0.77605546,78,85,84,84,88
607419179,0.8098638,0.8098638,0.77605546,78,85,84,84,88
607919118,0.79711497,0.79711497,0.77605546,78,85,84,84,88
608419817,0.80152315,0.80152315,0.77605546,78,85,84,84,88
608920901,0.8014494,0.8014494,0.77605546,78,85,84,84,88
609419102,0.807885,0.807885,0.77605546,78,85,84,84,88
609919144,0.8058758,0.8058758,0.77605546,78,85,84,84,88
610419119,0.8054124,0.8054124,0.77605546,78,85,84,84,88
610919334,0.81031954,0.81031954,0.77605546,78,85,84,84,88
611419068,0.8097507,0.8097507,0.77605546,78,85,84,84,88
611919124,0.80680025,0.80680025,0.77605546,78,85,84,84,88
612419375,0.8116379,0.8116379,0.77605546,78,85,84,84,88
612919131,0.8108041,0.8108041,0.77605546,78,85,84,84,88
613419834,0.8088919,0.8088919,0.77605546,78,85,84,84,88
613919069,0.80539143,0.80539143,0.77605546,78,85,84,84,88
614419174,0.81605226,0.81605226,0.77605546,78,85,84,84,88
614919670,0.8079229,0.8079229,0.77605546,78,85,84,84,88
615420326,0.81074804,0.81074804,0.77605546,78,85,84,84,88
615921195,0.8098019,0.8098019,0.77605546,78,85,84,84,88
616419105,0.8066623,0.8066623,0.77605546,78,85,84,84,88
616919069,0.81021005,0.81021005,0.77605546,78,85,84,84,88
617419221,0.9455876,0.9455876,0.77605546,78,85,84,84,88
