timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
586146417,2490386,2490386,0,0,0,0,0,0,0,0,809.3681,809.3681,8093.681,8093.681,3.424091,0.19536363,3.3384626e-07,-0.36430198,-0.30278653,-10.378405,-0.16988441,0.2778889,0.05648391,21.814816,28.915537,232.75558,0.21882182,0.14734907,0.011653274,47.296833,47.296833
586250237,2490386,2490386,0,0,0,0,0,0,0,0,809.36847,809.36847,8093.6846,8093.6846,4.0381055,0.20270908,2.78111e-07,-0.3988941,-0.24831212,-10.215965,-0.20842257,0.20611261,0.025639394,44.66208,61.87795,332.6225,0.29282728,0.16441528,0.011934,47.309498,47.309498
586354091,2490386,2490386,0,0,0,0,0,0,0,0,809.36865,809.36865,8093.687,8093.687,4.0418363,0.23673278,2.164159e-06,-0.729169,-0.24663131,-9.797919,-0.017444089,1.8639028,0.018536163,33.433983,65.71276,395.64545,0.28884992,0.8517309,0.0362878,47.33422,47.33422
586457463,2490386,2490386,0,0,0,0,0,0,0,0,809.369,809.369,8093.69,8093.69,3.9332557,0.25258517,4.251289e-06,-0.61137855,-0.781237,-12.812754,0.11343856,3.2735147,-0.0041707237,91.54434,111.43601,571.82825,0.6708206,0.97719544,0.164002,47.340546,47.340546
586561286,2490386,2490386,0,0,0,0,0,0,0,0,809.36926,809.36926,8093.692,8093.692,3.9059083,0.24274524,2.4074411e-06,-0.5594052,-0.23024234,-11.563994,0.11380616,1.553075,0.0018398728,103.02615,92.66435,577.3134,0.7991449,0.5209934,0.045344662,47.33034,47.33034
586665027,2490386,2490386,0,0,0,0,0,0,0,0,809.3695,809.3695,8093.695,8093.695,3.879772,0.24659967,6.9246033e-07,-0.3869116,-0.6145293,-11.122789,-0.08254942,0.27574068,0.059317745,133.08298,146.4435,461.34464,1.1411301,0.24289568,0.034924876,47.309204,47.309204
586768917,2490386,2490386,0,0,0,0,0,0,0,0,809.3697,809.3697,8093.697,8093.697,3.9928002,0.25380608,6.119532e-07,-0.8023758,-0.5141476,-11.821751,0.0042686476,0.1954113,-0.012189027,179.75987,142.12212,729.50775,0.99038756,0.51961505,0.025109611,47.292458,47.292458
586872705,2490386,2490386,0,0,0,0,0,0,0,0,809.36993,809.36993,8093.7,8093.7,3.813154,0.22970304,4.897566e-07,-0.3712178,-0.5022243,-11.995893,-0.006224901,-0.07153377,0.011508932,136.59843,212.9987,766.3053,1.2548853,0.5239937,0.024867065,47.24487,47.24487
586975192,2490386,2490386,0,0,0,0,0,0,0,0,809.3701,809.3701,8093.7017,8093.7017,3.6987493,0.21118015,4.2525573e-07,-0.07587667,-0.4191335,-11.126597,0.07596046,-0.049977724,0.00530529,152.63742,83.33565,520.28796,0.6659142,0.74462086,0.030379856,47.208782,47.208782
587075397,2490386,2490386,0,0,0,0,0,0,0,0,809.37054,809.37054,8093.705,8093.705,4.0950394,0.2033221,3.6214647e-07,-0.37594202,-0.38393548,-11.221134,0.08996061,-0.24362321,0.002053907,90.41034,86.27226,376.54807,0.5193154,0.2265485,0.0142780505,47.187645,47.187645
