timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
592736426,592614727,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
592862918,592737947,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
592971975,592854737,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
593110642,592991171,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
593268039,593151619,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
593367368,593242015,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
593477904,593355819,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
593614459,593489831,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
593733035,593613713,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
593861467,593736413,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
593979705,593856721,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
594108947,593987739,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
594275892,594150793,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
594355403,594239007,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
594483566,594358767,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
594613134,594488717,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
594734539,594617717,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
594860103,594739781,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
594980440,594859223,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
595106508,594989797,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
595264461,595144529,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
595363378,595239781,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
595482083,595360071,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
595611173,595489791,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
595740317,595615015,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
595857684,595740719,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
595975965,595858729,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
596114868,595991043,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
596282646,596157721,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
596372827,596247589,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
596501536,596376359,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
596618458,596496359,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
596747154,596624717,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
596865114,596740973,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
596993587,596872845,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
597114159,596991745,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
597280546,597157477,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
597359225,597235864,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
597487903,597368236,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
597616127,597493786,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
597744612,597619830,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
597854904,597732856,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
597991665,597869102,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
598120152,597995682,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
598279838,598160766,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
598348249,598230550,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
598485739,598360718,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
598606116,598484890,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
598732988,598613720,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
598851760,598727778,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
598980837,598860728,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
599118170,598994346,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
599286955,599165736,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
599357290,599236936,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
599496314,599375040,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
599622184,599497768,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
599741403,599621542,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
599859284,599734758,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
599988031,599869780,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
600108438,599989780,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
600274632,600153734,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
600353371,600236716,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
600492356,600372436,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
600620625,600496750,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
600739081,600622736,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
600859174,600738180,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
600985944,600868730,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
601119744,600993572,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
601292791,601169854,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
601361572,601243380,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
601500409,601375658,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
601610262,601489860,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
601737062,601614790,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
601855627,601734772,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
601994061,601868950,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
602112519,601990720,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
602271430,602146720,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
602370866,602246096,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
602497841,602372312,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
602617070,602496984,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
602745838,602620208,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
602863651,602746348,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
602992619,602871720,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
603122875,602996302,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
603268436,603151728,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
603367505,603248782,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
603496357,603371068,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
603614890,603495216,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
603733678,603611744,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
603872892,603747876,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
603990309,603871748,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
604118229,603995746,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
604277740,604158724,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
604375138,604252278,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
604494780,604369332,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
604615341,604489348,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
604731264,604606768,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
604859395,604739196,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
604987549,604863870,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
605126126,605003720,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
605266411,605147734,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
605375085,605250154,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
605491810,605371150,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
605610377,605491718,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
605749622,605624722,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
605867291,605748808,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
605997308,605876880,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
606124152,606002242,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
606282657,606161952,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
606371563,606251456,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
606499818,606375732,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
606618710,606500002,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
606738349,606616804,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
606867197,606746342,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
606993906,606872980,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
607122477,606998726,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
607280485,607164022,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
