timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
591225862,32767,32767,32767,-21,32767,32767
591230803,32767,32767,32767,32767,32767,32767
591235763,32767,32767,32767,32767,-14,32767
591240686,32767,32767,32767,32767,32767,-1
591245628,32767,32767,32767,32767,32767,32767
591250569,32767,32767,32767,32767,32767,32767
591255511,32767,32767,32767,32767,32767,32767
591260452,32767,32767,32767,32767,32767,32767
591265396,32767,32767,32767,32767,32767,32767
591270335,32767,32767,32767,-36,32767,32767
591275276,32767,32767,32767,32767,32767,32767
591280218,32767,32767,32767,32767,32767,32767
591285160,32767,32767,32767,32767,32767,-22
591290101,32767,32767,32767,32767,32767,32767
591295044,32767,32767,32767,32767,32767,32767
591299984,32767,32767,32767,32767,32767,32767
591304925,32767,32767,32767,32767,32767,32767
591309866,32767,32767,32767,32767,32767,-23
591314808,32767,32767,32767,32767,32767,32767
591319750,32767,32767,32767,32767,32767,32767
591324691,32767,32767,32767,32767,32767,32767
591329637,32767,32767,32767,32767,32767,32767
591334574,32767,32767,32767,32767,32767,32767
591339515,32767,32767,32767,32767,32767,32767
591344456,32767,32767,32767,32767,32767,32767
591349398,32767,32767,32767,32767,32767,32767
591354339,32767,32767,32767,-9,32767,-8
591359281,32767,32767,32767,32767,32767,32767
591364222,32767,32767,32767,32767,32767,32767
591369164,32767,32767,32767,32767,32767,32767
591374105,32767,32767,32767,32767,2,32767
591379047,32767,32767,32767,32767,32767,32767
591383988,32767,32767,32767,32767,32767,-37
591388930,32767,32767,32767,32767,32767,32767
591393871,32767,32767,32767,32767,32767,32767
591398813,32767,32767,32767,-22,-45,32767
591403755,32767,32767,32767,32767,32767,32767
591408696,32767,32767,32767,32767,32767,32767
591413639,32767,32767,32767,32767,32767,-38
591418578,32767,32767,32767,32767,32767,32767
591423520,32767,32767,32767,32767,32767,32767
591428461,32767,32767,32767,32767,32767,32767
591433403,32767,32767,32767,32767,32767,32767
591438344,32767,32767,32767,32767,32767,32767
591443286,32767,32767,32767,32767,32767,-5
591448227,32767,32767,32767,32767,32767,32767
591453168,32767,32767,32767,32767,32767,32767
591458110,32767,32767,32767,32767,32767,32767
591463051,32767,32767,32767,32767,32767,32767
591467992,32767,32767,32767,32767,32767,32767
591472934,32767,32767,32767,32767,32767,32767
591482823,32767,32767,32767,4,32767,-41
591487759,32767,32767,32767,32767,32767,32767
591492700,32767,32767,32767,32767,32767,32767
591502582,32767,32767,32767,32767,32767,32767
591507524,32767,32767,32767,32767,32767,-4
591512475,32767,32767,32767,32767,32767,32767
591517407,32767,32767,32767,32767,-31,32767
591522356,32767,32767,32767,32767,32767,32767
591527290,32767,32767,32767,-5,32767,32767
591532231,32767,32767,32767,32767,32767,32767
591537173,32767,32767,32767,32767,32767,32767
591542114,32767,32767,32767,32767,32767,32767
591547055,32767,32767,32767,32767,32767,-22
591551999,32767,32767,32767,32767,32767,32767
591556942,32767,32767,32767,32767,-25,32767
591561879,32767,32767,32767,32767,32767,32767
591566823,32767,32767,32767,32767,32767,32767
591571762,32767,32767,32767,32767,32767,32767
591576704,32767,32767,32767,32767,32767,32767
591581645,32767,32767,32767,32767,32767,-18
591586588,32767,32767,32767,32767,32767,32767
591591528,32767,32767,32767,32767,32767,32767
591596469,32767,32767,32767,32767,32767,32767
591601411,32767,32767,32767,32767,32767,32767
591606352,32767,32767,32767,32767,32767,32767
591611294,32767,32767,32767,19,32767,-15
591621176,32767,32767,32767,32767,32767,32767
591626118,32767,32767,32767,32767,32767,32767
591631059,32767,32767,32767,32767,32767,32767
591636000,32767,32767,32767,32767,32767,32767
591640942,32767,32767,32767,32767,32767,32767
591645883,32767,32767,32767,32767,32767,-45
591650830,32767,32767,32767,32767,32767,32767
591655775,32767,32767,32767,32767,32767,32767
591660708,32767,32767,32767,-42,32767,32767
591665649,32767,32767,32767,32767,32767,32767
591670590,32767,32767,32767,32767,32767,32767
591675532,32767,32767,32767,32767,-11,32767
591680475,32767,32767,32767,32767,32767,32767
591685414,32767,32767,32767,32767,32767,32767
591690356,32767,32767,32767,32767,32767,32767
591695297,32767,32767,32767,32767,-7,32767
591700239,32767,32767,32767,32767,32767,32767
591705180,32767,32767,32767,32767,32767,32767
591710121,32767,32767,32767,32767,32767,-26
591715063,32767,32767,32767,32767,32767,32767
591720012,32767,32767,32767,32767,32767,32767
591724946,32767,32767,32767,32767,32767,32767
591729887,32767,32767,32767,32767,32767,32767
591734829,32767,32767,32767,32767,32767,32767
591739782,32767,32767,32767,32767,32767,32767
591744711,32767,32767,32767,-17,32767,32767
591749653,32767,32767,32767,32767,32767,2
591754594,32767,32767,32767,32767,32767,32767
591759535,32767,32767,32767,32767,32767,32767
591764477,32767,32767,32767,32767,32767,32767
591769418,32767,32767,32767,32767,32767,32767
591774360,32767,32767,32767,32767,32767,-4
591779301,32767,32767,32767,32767,32767,32767
591784242,32767,32767,32767,32767,32767,32767
591789184,32767,32767,32767,-28,32767,32767
591794125,32767,32767,32767,32767,32767,32767
591799066,32767,32767,32767,32767,32767,32767
591804008,32767,32767,32767,32767,32767,32767
591808949,32767,32767,32767,32767,32767,32767
591813891,32767,32767,32767,32767,32767,-40
591818832,32767,32767,32767,32767,-41,32767
591823773,32767,32767,32767,32767,32767,32767
591828723,32767,32767,32767,32767,32767,32767
591833656,32767,32767,32767,32767,32767,32767
591838598,32767,32767,32767,32767,32767,32767
591843542,32767,32767,32767,32767,32767,-21
591848480,32767,32767,32767,32767,32767,32767
591853422,32767,32767,32767,32767,32767,32767
591858363,32767,32767,32767,32767,-39,32767
591863305,32767,32767,32767,32767,32767,32767
591868246,32767,32767,32767,32767,32767,32767
591873188,32767,32767,32767,5,32767,32767
591878129,32767,32767,32767,32767,32767,32767
591883070,32767,32767,32767,32767,32767,32767
591888015,32767,32767,32767,32767,32767,-31
591892953,32767,32767,32767,32767,32767,32767
591897894,32767,32767,32767,32767,32767,32767
591902836,32767,32767,32767,32767,32767,32767
591907786,32767,32767,32767,32767,32767,32767
591912718,32767,32767,32767,32767,32767,-28
591917660,32767,32767,32767,-14,32767,32767
591922601,32767,32767,32767,32767,32767,32767
591927543,32767,32767,32767,32767,32767,32767
591932484,32767,32767,32767,32767,32767,32767
591937425,32767,32767,32767,32767,32767,32767
591942367,32767,32767,32767,32767,32767,32767
591947311,32767,32767,32767,32767,32767,-15
591952250,32767,32767,32767,32767,32767,32767
591957191,32767,32767,32767,32767,32767,32767
591962132,32767,32767,32767,32767,32767,32767
591967074,32767,32767,32767,32767,32767,32767
591972015,32767,32767,32767,32767,32767,32767
591976957,32767,32767,32767,32767,-23,-17
591981898,32767,32767,32767,32767,32767,32767
591986839,32767,32767,32767,32767,32767,32767
591991781,32767,32767,32767,32767,32767,32767
591996722,32767,32767,32767,32767,-24,32767
592001664,32767,32767,32767,32767,32767,32767
592006605,32767,32767,32767,-38,32767,-16
592011546,32767,32767,32767,32767,32767,32767
592016488,32767,32767,32767,32767,32767,32767
592021429,32767,32767,32767,32767,32767,32767
592026371,32767,32767,32767,32767,32767,32767
592031312,32767,32767,32767,32767,32767,32767
592036253,32767,32767,32767,32767,32767,32767
592041195,32767,32767,32767,32767,32767,32767
592046136,32767,32767,32767,2,32767,32767
592051077,32767,32767,32767,32767,32767,-9
592056019,32767,32767,32767,32767,32767,32767
592060961,32767,32767,32767,32767,32767,32767
592065902,32767,32767,32767,32767,32767,32767
592070844,32767,32767,32767,32767,32767,32767
592075785,32767,32767,32767,32767,32767,32767
592080727,32767,32767,32767,32767,32767,32767
592085667,32767,32767,32767,32767,32767,2
592090609,32767,32767,32767,32767,32767,32767
592095550,32767,32767,32767,32767,32767,32767
592100491,32767,32767,32767,32767,32767,32767
592105433,32767,32767,32767,32767,32767,32767
592110374,32767,32767,32767,32767,32767,32767
592115316,32767,32767,32767,32767,-10,1
592120257,32767,32767,32767,32767,32767,32767
592125199,32767,32767,32767,32767,32767,32767
592130140,32767,32767,32767,32767,32767,32767
592135082,32767,32767,32767,-23,32767,32767
592140023,32767,32767,32767,32767,32767,32767
592144970,32767,32767,32767,32767,32767,-38
592149906,32767,32767,32767,32767,32767,32767
592154847,32767,32767,32767,32767,-5,32767
592159806,32767,32767,32767,32767,32767,32767
592164730,32767,32767,32767,32767,32767,32767
592169671,32767,32767,32767,32767,32767,32767
592174613,32767,32767,32767,32767,32767,-2
592179557,32767,32767,32767,-33,32767,32767
592184497,32767,32767,32767,32767,32767,32767
592189437,32767,32767,32767,32767,32767,32767
592194378,32767,32767,32767,32767,32767,32767
592199320,32767,32767,32767,32767,32767,32767
592204261,32767,32767,32767,32767,32767,32767
592209202,32767,32767,32767,32767,32767,32767
592214144,32767,32767,32767,32767,32767,32767
592219086,32767,32767,32767,32767,32767,-19
592224027,32767,32767,32767,32767,32767,32767
592228970,32767,32767,32767,32767,32767,32767
592233909,32767,32767,32767,32767,32767,32767
592243792,32767,32767,32767,32767,32767,32767
592248734,32767,32767,32767,32767,32767,32767
592253675,32767,32767,32767,32767,7,32767
592258616,32767,32767,32767,32767,32767,32767
592263558,32767,32767,32767,-9,32767,32767
592268499,32767,32767,32767,32767,32767,32767
592273441,32767,32767,32767,32767,32767,-38
592278382,32767,32767,32767,32767,32767,32767
592283324,32767,32767,32767,32767,32767,32767
592288265,32767,32767,32767,32767,32767,32767
592293206,32767,32767,32767,32767,32767,32767
592298148,32767,32767,32767,32767,32767,32767
592303089,32767,32767,32767,32767,32767,32767
592308030,32767,32767,32767,-21,32767,32767
592312973,32767,32767,32767,32767,32767,32767
592317913,32767,32767,32767,32767,32767,32767
592322855,32767,32767,32767,32767,32767,32767
592327801,32767,32767,32767,32767,32767,-33
592332737,32767,32767,32767,32767,32767,32767
592337678,32767,32767,32767,32767,32767,32767
592342620,32767,32767,32767,32767,32767,-20
592347561,32767,32767,32767,32767,32767,32767
592352503,32767,32767,32767,32767,18,32767
592357444,32767,32767,32767,32767,32767,32767
592362386,32767,32767,32767,32767,32767,32767
592367327,32767,32767,32767,32767,32767,32767
592372268,32767,32767,32767,32767,32767,32767
592377210,32767,32767,32767,32767,32767,-14
592382151,32767,32767,32767,32767,32767,32767
592387092,32767,32767,32767,32767,32767,32767
592392034,32767,32767,32767,32767,32767,32767
592396976,32767,32767,32767,-44,32767,32767
592401917,32767,32767,32767,32767,32767,32767
592406858,32767,32767,32767,32767,32767,32767
592411800,32767,32767,32767,32767,32767,32767
592421682,32767,32767,32767,32767,32767,32767
592426624,32767,32767,32767,32767,32767,32767
592431565,32767,32767,32767,32767,32767,32767
592436528,32767,32767,32767,-7,32767,32767
592441448,32767,32767,32767,32767,32767,-26
592446389,32767,32767,32767,32767,32767,32767
592451331,32767,32767,32767,32767,32767,32767
592456272,32767,32767,32767,32767,-18,32767
592461217,32767,32767,32767,32767,32767,32767
592466155,32767,32767,32767,32767,32767,32767
592471096,32767,32767,32767,32767,32767,-21
592476038,32767,32767,32767,32767,32767,32767
592480990,32767,32767,32767,32767,32767,32767
592485921,32767,32767,32767,32767,32767,32767
592490869,32767,32767,32767,32767,32767,32767
592495803,32767,32767,32767,32767,32767,32767
592500745,32767,32767,32767,32767,32767,32767
592505686,32767,32767,32767,32767,32767,32767
592510628,32767,32767,32767,32767,32767,32767
592515569,32767,32767,32767,32767,32767,32767
592520510,32767,32767,32767,32767,32767,-17
592525452,32767,32767,32767,-30,32767,32767
592530393,32767,32767,32767,32767,32767,32767
592535335,32767,32767,32767,32767,32767,32767
592540276,32767,32767,32767,32767,32767,-9
592545217,32767,32767,32767,32767,32767,32767
592550159,32767,32767,32767,32767,32767,32767
592555100,32767,32767,32767,32767,32767,32767
592560044,32767,32767,32767,32767,32767,32767
592564987,32767,32767,32767,32767,32767,32767
592569924,32767,32767,32767,-40,32767,32767
592574866,32767,32767,32767,32767,32767,32767
592579808,32767,32767,32767,32767,32767,32767
592584749,32767,32767,32767,32767,32767,-29
592589690,32767,32767,32767,32767,32767,32767
592594632,32767,32767,32767,32767,32767,32767
592599573,32767,32767,32767,32767,32767,32767
592604514,32767,32767,32767,32767,32767,32767
592609456,32767,32767,32767,32767,32767,32767
592614397,32767,32767,32767,32767,32767,-14
592619338,32767,32767,32767,32767,32767,32767
592624281,32767,32767,32767,32767,32767,32767
592629221,32767,32767,32767,32767,32767,32767
592634163,32767,32767,32767,32767,-37,32767
592639104,32767,32767,32767,32767,32767,-22
592644045,32767,32767,32767,32767,32767,32767
592648990,32767,32767,32767,32767,32767,32767
592653928,32767,32767,32767,-16,32767,32767
592658869,32767,32767,32767,32767,32767,32767
592663815,32767,32767,32767,32767,32767,32767
592668752,32767,32767,32767,32767,32767,32767
592673694,32767,32767,32767,32767,32767,32767
592678640,32767,32767,32767,32767,32767,32767
592683576,32767,32767,32767,32767,32767,-17
592688518,32767,32767,32767,32767,32767,32767
592693459,32767,32767,32767,32767,32767,32767
592698411,32767,32767,32767,-26,32767,32767
592703342,32767,32767,32767,32767,32767,32767
592708286,32767,32767,32767,32767,32767,-5
592713227,32767,32767,32767,32767,32767,32767
592718166,32767,32767,32767,32767,32767,32767
592723107,32767,32767,32767,32767,32767,32767
592728049,32767,32767,32767,32767,32767,32767
592732990,32767,32767,32767,32767,32767,32767
592737932,32767,32767,32767,32767,32767,32767
592742873,32767,32767,32767,32767,32767,-23
592747815,32767,32767,32767,32767,32767,32767
592752756,32767,32767,32767,32767,32767,32767
592757697,32767,32767,32767,32767,32767,32767
592762639,32767,32767,32767,32767,32767,32767
592767580,32767,32767,32767,32767,32767,32767
592772525,32767,32767,32767,32767,-22,32767
592777463,32767,32767,32767,32767,32767,32767
592782404,32767,32767,32767,-2,32767,-32
592787346,32767,32767,32767,32767,32767,32767
592792287,32767,32767,32767,32767,-19,32767
592797228,32767,32767,32767,32767,32767,32767
592802188,32767,32767,32767,32767,32767,32767
592807111,32767,32767,32767,32767,32767,-19
592812053,32767,32767,32767,32767,32767,32767
592816994,32767,32767,32767,32767,32767,32767
592821936,32767,32767,32767,32767,32767,32767
592826877,32767,32767,32767,-13,32767,32767
592831818,32767,32767,32767,32767,32767,32767
