timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
593904448,593903953,0.4661932,-1.0349655,-9.434641
593909549,593908962,0.70115405,-0.38483873,-9.249358
593914490,593913972,0.41627905,-1.4284614,-9.39923
593919401,593918978,0.605492,-0.7281721,-10.000623
593924430,593923987,0.12796727,-2.0523367,-10.151839
593929485,593928995,0.3430719,-0.91122776,-10.34254
593934414,593934003,0.020314418,-2.0817933,-10.182921
593939444,593939011,0.22009984,-1.0035999,-9.965349
593944500,593944020,0.114381395,-2.342664,-9.635667
593949519,593949028,0.31705257,-1.0746863,-9.456354
593954450,593954037,0.16684942,-2.188768,-9.459621
593959484,593959045,0.29694372,-0.96674144,-9.60971
593964482,593964053,0.16536446,-1.8472481,-9.575463
593969498,593969062,0.13491215,-0.87014544,-9.634219
593979538,593979078,0.4876905,-1.0213819,-9.563859
593984516,593984086,0.5440112,-1.3644559,-9.788066
593989537,593989094,0.6259395,-1.2471471,-9.788458
593994628,593994102,0.7128223,-1.2074169,-9.96194
593999570,593999111,0.89844006,-1.5371695,-9.744524
594004741,594004119,0.633024,-1.1748914,-9.897296
594009653,594009127,0.9680827,-1.5059754,-10.046228
594014617,594014136,0.50910246,-0.7691198,-10.446675
594019565,594019144,0.9508884,-1.5316398,-10.012839
594024567,594024152,0.024314819,-0.70443124,-10.283873
594029655,594029161,0.58420426,-1.7445458,-10.5732975
594034583,594034169,0.011922773,-0.66557455,-11.1825
594039608,594039177,0.40045086,-1.6495252,-11.326497
594044724,594044189,-0.12035602,-1.2129493,-11.795787
594049671,594049193,0.2808524,-1.6091391,-11.895769
594054611,594054202,-0.12728243,-1.2679385,-11.042007
594059617,594059210,0.01433127,-1.4587125,-10.828618
594064642,594064218,0.019903235,-1.2492007,-10.130705
594069736,594069227,-0.059360303,-0.8921149,-9.964704
594074670,594074235,0.39665374,-1.3986877,-9.7331505
594079802,594079243,0.3614193,-1.6167365,-10.282099
594084690,594084251,0.7188026,-1.7997552,-10.504676
594089730,594089259,0.51274264,-1.4145715,-11.20374
594094759,594094268,0.4748191,-1.5638776,-10.937128
594099838,594099278,0.30694517,-0.8066032,-10.698412
594109708,594109293,0.33898002,-0.86721635,-10.633726
594114796,594114301,0.4189623,-1.4594173,-10.78384
594119804,594119310,0.52637714,-0.6074566,-10.687869
594124771,594124317,0.24603474,-1.5648305,-10.581492
594129733,594129326,0.18007788,-0.6626534,-10.506717
594134838,594134334,0.040168513,-1.7630153,-9.913661
594139796,594139354,0.019965192,-0.3217572,-9.846793
594144865,594144352,0.03712517,-1.7145313,-9.166753
594149847,594149359,0.1919857,-1.0024604,-10.095715
594154788,594154367,-0.0573283,-1.9161966,-9.707379
594159846,594159375,0.046415243,-1.0541263,-10.775354
594164833,594164383,-0.25950852,-1.7330012,-10.839647
594169843,594169395,0.1808119,-1.5718665,-10.840793
594174841,594174400,-0.13775066,-1.5145494,-10.510084
594179909,594179408,0.3833062,-1.3329128,-10.38719
594184893,594184416,-0.0931099,-1.0756456,-10.262166
594189887,594189425,0.80389774,-1.4428766,-10.129267
594194865,594194433,-0.0017584839,-1.2295033,-10.436396
594199868,594199441,0.6301227,-1.4761157,-10.117945
594204882,594204450,-0.0026802202,-1.6479421,-10.725131
594209891,594209458,0.54903877,-1.664924,-10.126341
594214956,594214466,0.24378355,-1.6656737,-10.602445
594219971,594219474,0.4435617,-1.6503286,-9.943061
594224902,594224482,0.13546081,-1.451005,-10.323529
594229992,594229491,0.23261479,-1.4548838,-9.977678
594234910,594234499,0.13255177,-1.0263752,-10.336709
594239965,594239512,0.36592203,-1.6105673,-9.900914
594245005,594244515,0.29171717,-1.2171723,-10.087795
594250047,594249523,0.5832656,-1.9632195,-9.306019
594255015,594254532,0.12458409,-0.9087469,-9.585909
594260029,594259540,0.628881,-1.7494632,-8.935379
594265020,594264548,0.1120735,-1.0479803,-9.437428
594270030,594269557,0.58411014,-2.0522032,-9.377132
594275035,594274564,-0.10362441,-1.4962968,-10.181845
594280156,594279573,0.50544244,-1.8766985,-10.042236
594285034,594284581,0.028348854,-1.6142157,-10.076075
594290004,594289589,0.5207717,-1.7517515,-9.782774
594295009,594294602,0.36681923,-1.6016392,-9.999762
594300037,594299606,0.6870534,-1.6284317,-9.779332
594305040,594304614,0.4434447,-1.3451384,-9.649916
594310107,594309622,0.70102686,-1.677485,-9.28138
594315063,594314634,0.42704457,-1.2113062,-9.650989
594320068,594319639,0.53393495,-2.0476615,-9.210108
594325076,594324647,0.254492,-1.4595146,-10.146891
594330151,594329655,0.37288934,-1.7483289,-9.4655695
594335105,594334664,0.3646707,-1.3628845,-10.320499
594340109,594339672,0.3844309,-1.4439688,-9.544908
594345217,594344680,0.4744862,-1.3290466,-9.900276
594350214,594349688,0.5983392,-1.6855315,-9.73937
594355142,594354696,0.42239484,-1.6910344,-9.9032135
594360150,594359705,0.35136834,-1.77567,-10.127525
594365179,594364713,0.40084702,-1.9050704,-10.690848
594370208,594369721,0.3270054,-1.615438,-10.744243
594375172,594374729,0.23714492,-1.8006572,-10.916276
594380143,594379737,0.35495386,-1.8356051,-10.8077
594385200,594384746,0.2964092,-2.0705497,-11.062524
594390245,594389754,0.2881714,-2.301431,-10.656787
594395185,594394767,0.24315785,-2.0140297,-10.988636
594400178,594399770,0.30254188,-1.8942552,-10.164681
594405216,594404778,0.2609368,-2.1443143,-10.92509
594410268,594409787,0.3977257,-1.885022,-10.804536
594415276,594414795,0.34730965,-2.5090218,-11.483168
594420233,594419803,0.42408127,-1.8056406,-11.160238
594425243,594424811,0.608025,-2.1579723,-10.889504
594430321,594429819,0.39521125,-1.1021837,-10.35201
594435240,594434828,0.54096115,-2.2418754,-10.1036825
594440269,594439836,0.46884686,-1.6713952,-10.757775
594445355,594444849,0.34878302,-2.700981,-10.851484
594450369,594449854,0.6396326,-2.1176772,-10.880016
594455294,594454861,0.17110811,-2.1609921,-10.5449
594460370,594459869,0.7808923,-1.4318147,-10.729026
594465366,594464877,0.37769076,-2.129239,-10.796067
594470436,594469886,0.67444766,-1.7800183,-10.766406
594475382,594474893,0.37280685,-2.3081405,-10.5989275
594480343,594479902,0.45579496,-1.5247334,-10.129785
594485319,594484910,0.63519144,-2.0429256,-10.65985
594490399,594489918,0.29684415,-1.2400807,-10.946578
594495345,594494926,0.37208855,-2.1746118,-11.617793
594500352,594499935,0.4111703,-1.6530211,-11.916796
594505373,594504942,0.35554633,-1.4508164,-11.199045
594510448,594509951,0.45081413,-1.2571508,-10.838818
594515493,594514959,0.6207697,-1.5739104,-10.899715
594520389,594519968,0.42856017,-1.3787781,-10.726213
594525390,594524975,0.3754274,-1.1609163,-11.212943
594530494,594529983,0.5379882,-1.8350437,-11.492303
594535429,594534991,0.3073161,-1.777672,-11.915065
594540479,594540000,0.22580126,-1.8469955,-11.8226385
594545561,594545012,-0.06637538,-1.516856,-11.711062
594550565,594550016,0.1619565,-2.0550244,-12.240791
594555481,594555024,0.30407792,-1.279487,-12.050316
594560499,594560032,0.3620268,-1.8165323,-11.584771
594565453,594565041,0.4975869,-1.243481,-11.240555
594570457,594570049,0.20384082,-2.037644,-10.766468
594575489,594575058,0.023486914,-1.2824018,-10.799763
594580548,594580066,-0.37638578,-2.4591687,-10.671902
594585522,594585073,-0.4351032,-1.8371253,-11.266983
594590498,594590081,-0.31639284,-2.0055656,-10.824156
594595530,594595090,0.11994788,-1.835956,-10.802123
594600536,594600098,-0.14305086,-2.0249841,-11.0381775
594605578,594605106,0.31603408,-1.7690471,-10.981444
594610613,594610114,0.093917854,-1.3766481,-10.904797
594615621,594615122,0.7147352,-1.653078,-10.490542
594620607,594620132,0.03677598,-0.99495983,-10.445106
594625600,594625139,0.90352386,-1.2297208,-10.250585
594630660,594630147,0.3110081,-0.8873931,-10.563809
594635588,594635155,0.61365765,-1.8738052,-10.522832
594640623,594640163,-0.21006438,-1.5618895,-10.842197
594645759,594645171,-3.2081407e-05,-2.1319013,-10.827088
594650728,594650179,-0.17504781,-1.6278396,-10.814012
