timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
596422427,594469640,1947285,1948538,10995,0
596510810,594560460,1949525,1948540,1638,0
596615627,594664633,1949049,1948540,3873,0
596714913,594763686,1949957,1948543,2529,0
596814518,594863761,1949381,1948544,2738,0
596914828,594964349,1947960,1948541,5007,0
597009421,595058823,1949464,1948542,2255,0
597120428,595169112,1949337,1948543,3945,0
597215703,595265276,1946166,1948535,8507,0
598360259,596409709,1425794,1948535,1049448,0
600510042,598558072,403399,1948535,3097135,0
600538621,598588361,884530,1948535,2131452,0
600562813,598612264,923513,1948535,2054066,0
600882920,598932626,812592,1948535,2275397,0
600888240,598935591,1814395,1948535,275872,0
600898066,598945493,1858911,1948535,187317,0
600902191,598951971,1904544,1948535,91345,0
601293896,599342821,1758754,1948535,384636,0
601296694,599346424,1806952,1948535,286627,0
602965421,601014717,1024357,1948535,1852687,0
602971689,601019439,1122652,1948535,1658606,0
602973226,601022642,1168501,1948535,1564160,0
603086875,601135147,1161692,1948535,1579963,0
603095326,601145069,1908785,1948535,82938,0
603248566,601298420,1881655,1948535,136974,0
603292231,601341886,1908123,1948535,84437,0
603313458,601361136,1949959,1948538,4716,0
603416448,601465420,1946306,1948530,9428,0
603513404,601562921,1948817,1948529,3315,0
603616459,601665475,1949174,1948530,3604,0
603718822,601768642,1947513,1948526,5320,0
603820588,601870391,1946664,1948519,7056,0
603922674,601971374,1946304,1948511,9981,0
604014086,602063632,1948696,1948510,3506,0
604110596,602159823,1949829,1948513,1874,0
604214300,602260590,1950321,1948517,6768,0
604309495,602358978,1949519,1948518,1981,0
604415086,602463738,1947672,1948514,7336,0
604516800,602565849,1946425,1948507,9041,0
604617811,602664655,1948192,1948505,9918,0
604716814,602766618,1946245,1948496,7891,0
604815531,602863864,1949702,1948499,3919,0
604919182,602968310,1946152,1948490,9430,0
605015664,603065525,1945987,1948481,8294,0
605122197,603171324,1943548,1948481,14644,0
605215959,603263237,1949112,1948482,7210,0
605317259,603367025,1946150,1948473,8158,0
605416140,603465879,1946079,1948465,8354,0
605515566,603562830,1950093,1948468,5276,0
605613406,603663207,1949272,1948469,1837,0
605719456,603769133,1945477,1948459,9416,0
605818393,603867502,1946562,1948452,8645,0
605921318,603971031,1943999,1948452,12568,0
606012822,604062706,1948825,1948451,2572,0
606117821,604166817,1948318,1948449,5361,0
606225945,604274481,1944092,1948449,14736,0
606316249,604364279,1949013,1948450,5903,0
606412834,604459810,1950383,1948454,5266,0
606531683,604581551,1940010,1948454,20236,0
606619949,604667978,1946916,1948454,10103,0
606715038,604764174,1948729,1948453,4255,0
606818941,604868610,1945902,1948444,8848,0
606911292,604960412,1949103,1948445,3543,0
607017813,605066958,1945839,1948445,10023,0
607118505,605166465,1946602,1948445,10870,0
607214030,605263640,1948798,1948444,3174,0
607313259,605362589,1949415,1948446,2495,0
607413204,605461594,1949250,1948447,4709,0
607513097,605562066,1949153,1948447,3747,0
607614721,605664452,1948417,1948446,3688,0
607710354,605760119,1949426,1948447,1603,0
610134844,608184231,788172,1948447,2324876,0
610138393,608188121,835288,1948447,2229959,0
610558172,608607994,1075031,1948447,1750286,0
610562470,608611157,1125338,1948447,1651942,0
610566647,608615207,1173452,1948447,1553918,0
610687229,608736973,1911037,1948447,78430,0
610854861,608904647,1876356,1948447,147707,0
610860973,608910269,1924341,1948447,52719,0
610911109,608959467,1949814,1948450,3642,0
611016191,609065680,1946949,1948444,7108,0
611116657,609166481,1947351,1948439,5640,0
611209810,609259213,1949703,1948442,1771,0
611315320,609365029,1948003,1948439,4560,0
611410890,609459379,1949957,1948442,3093,0
611511828,609561412,1948544,1948441,3733,0
611620877,609670419,1945172,1948441,10563,0
611717212,609766667,1946170,1948433,8740,0
611817563,609867449,1945706,1948423,8806,0
611911689,609961600,1948685,1948422,2797,0
612015588,610062253,1949427,1948424,7806,0
612112827,610162171,1949364,1948425,2573,0
612219606,610269529,1945577,1948415,8989,0
612316704,610365579,1946884,1948409,8469,0
612418430,610467532,1946318,1948402,8935,0
612518250,610567457,1946228,1948394,7861,0
612619974,610669350,1944951,1948394,11337,0
612712199,610762005,1949065,1948394,2247,0
612811305,610860456,1949566,1948396,2550,0
612916196,610965792,1945916,1948387,8966,0
613017428,611065473,1949274,1948388,5351,0
613118519,611164223,1950523,1948393,7531,0
613217107,611265705,1948133,1948391,6527,0
613321144,611370582,1945486,1948391,10146,0
613418222,611465706,1947394,1948391,10236,0
613517518,611565291,1947040,1948391,10368,0
613608836,611658750,1949350,1948392,1457,0
613717560,611765753,1946837,1948386,9930,0
613822731,611870830,1945928,1948386,11939,0
613915987,611965856,1945932,1948377,8388,0
614011884,612061537,1949114,1948378,2450,0
614119834,612169496,1945604,1948368,9452,0
614212593,612261889,1948720,1948367,3955,0
614318682,612367653,1945845,1948367,10362,0
614416277,612466082,1946176,1948359,8028,0
614520205,612569719,1947531,1948355,5891,0
614609138,612659038,1948985,1948356,2213,0
614715364,612765110,1947906,1948353,4686,0
614815707,612864848,1947825,1948350,6058,0
614916603,612966276,1947844,1948346,4955,0
615020700,613070454,1944652,1948346,11182,0
615111050,613160615,1948631,1948346,3594,0
615217862,613267795,1945919,1948337,8282,0
615311493,613361127,1948666,1948336,3385,0
615417967,613467595,1947088,1948331,6557,0
615513095,613562775,1948795,1948331,3033,0
615614817,613664674,1946763,1948324,6749,0
615712030,613761839,1949389,1948326,1593,0
615816621,613866328,1946087,1948318,7939,0
615922078,613971173,1945298,1948318,11205,0
616014117,614062995,1949870,1948321,2487,0
616116187,614162281,1949682,1948323,8437,0
616211220,614259216,1950384,1948328,3230,0
616313794,614361588,1950015,1948331,4367,0
616422820,614471938,1945590,1948331,10564,0
616516924,614566563,1945826,1948322,8861,0
616612110,614661172,1949708,1948325,2447,0
616718081,614764150,1949870,1948328,8112,0
616816423,614864135,1948983,1948328,6600,0
616912960,614962894,1948749,1948328,2623,0
617016449,615065963,1946152,1948320,8658,0
617110544,615159432,1949330,1948321,3548,0
617208925,615258221,1949681,1948324,2030,0
617313119,615362316,1949175,1948325,3239,0
617419819,615468570,1946210,1948325,10070,0
617517703,615566533,1946485,1948318,9360,0
