timestamp,timestamp_sample,position[0],position[1],position[2],q[0],q[1],q[2],q[3],velocity[0],velocity[1],velocity[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],position_variance[0],position_variance[1],position_variance[2],orientation_variance[0],orientation_variance[1],orientation_variance[2],velocity_variance[0],velocity_variance[1],velocity_variance[2],pose_frame,velocity_frame,reset_counter,quality
566993816,566964799,-0.00028034722,-0.000299685,-0.102321506,0.998688,-0.044765014,-0.0248416,0.0011624903,-0.0010241115,-0.0021807859,-0.0074056066,0.0052087186,-0.003067784,-0.00081258465,1.2416862e-07,1.8096353e-07,1.03206496e-07,9.8907975e-08,1.0867765e-07,1.6068859e-07,1.1304974e-05,1.4346416e-05,6.495324e-06,2,3,1,100
567018827,566994539,-0.0002788172,-0.0002529982,-0.1023729,0.9986909,-0.044762045,-0.024728116,0.001189862,-0.0060424665,-0.0023045042,-0.007364382,-0.011533192,0.03683574,0.0055259867,1.2438751e-07,1.812471e-07,1.03316054e-07,1.05849125e-07,1.18416274e-07,1.6386832e-07,1.1547872e-05,1.4739528e-05,6.570329e-06,2,3,1,100
567049982,567027196,-0.00071907026,-0.0005007783,-0.10276767,0.99871397,-0.044743925,-0.02381674,0.0010989177,-0.009917191,-0.0034990136,-0.0076841917,0.0035754626,0.09882454,-0.026292544,1.2411313e-07,1.8054189e-07,1.0318191e-07,8.641606e-08,9.358195e-08,1.7787897e-07,1.0413234e-05,1.2870511e-05,6.938448e-06,2,3,1,100
567091706,567066685,-0.0014126031,-0.00059287733,-0.10355963,0.9987565,-0.04448209,-0.022484383,0.0010841892,-0.011663199,-0.004978036,-0.01254757,-0.03757161,0.06960736,-0.009954495,1.26158e-07,1.8031851e-07,1.0432497e-07,8.0238685e-08,8.387553e-08,1.810018e-07,1.0278619e-05,1.2568349e-05,6.8738245e-06,2,3,1,100
567121212,567096244,-0.001927788,-0.00066003815,-0.10434256,0.9987704,-0.0445279,-0.021774612,0.0009240463,-0.012153934,-0.0050014798,-0.016585762,0.036642216,0.018104276,-0.013756233,1.3006553e-07,1.8314209e-07,1.0738753e-07,1.0503603e-07,1.11657876e-07,1.9689419e-07,1.1839371e-05,1.4939959e-05,7.0288083e-06,2,3,1,100
567150193,567125848,-0.00216513,-0.0008039688,-0.10534235,0.9987961,-0.044384155,-0.020871786,0.0008886559,-0.014197826,-0.0022397132,-0.020625066,0.054687753,0.110689886,0.023996823,1.35104e-07,1.8571589e-07,1.1145496e-07,9.930116e-08,1.0219902e-07,2.3026296e-07,1.1116183e-05,1.338833e-05,7.658309e-06,2,3,1,100
567189176,567165332,-0.002666812,-0.0009905486,-0.106545284,0.9988379,-0.044155665,-0.019308465,0.000644743,-0.016640069,-0.0066833217,-0.026235668,-0.00011504661,-0.10223282,-0.012549164,1.4483442e-07,1.9088095e-07,1.18059994e-07,1.3406934e-07,1.3983853e-07,2.7460558e-07,1.2854176e-05,1.5849912e-05,8.2095585e-06,2,3,1,75
567219570,567194957,-0.0030844698,-0.0012402636,-0.107559964,0.9988604,-0.044335417,-0.0176692,0.00022126995,-0.01856421,-0.007651916,-0.028184082,0.107140005,0.12146708,-0.011737647,1.5941022e-07,1.9763502e-07,1.2746153e-07,1.7287304e-07,1.9958276e-07,3.4818797e-07,1.41743585e-05,1.8656625e-05,9.13869e-06,2,3,1,86
567251700,567224594,-0.0036600733,-0.0013493054,-0.1088733,0.9988905,-0.04412784,-0.016445342,-0.00017476364,-0.013954039,-0.00936589,-0.038964223,0.15261497,0.068614975,-0.027616339,1.7614836e-07,2.0519116e-07,1.373022e-07,2.3884715e-07,2.9018526e-07,4.275936e-07,1.6073433e-05,2.175743e-05,9.850502e-06,2,3,1,95
567290062,567264167,-0.005264238,-0.0008001468,-0.11118117,0.99897754,-0.043276798,-0.013055299,-0.0007634089,-0.021078294,0.006487996,-0.054177172,0.117356636,0.2049494,0.01586844,2.0956337e-07,2.1857151e-07,1.5829758e-07,2.415376e-07,3.322422e-07,5.3488986e-07,1.5331289e-05,2.1668953e-05,1.0887028e-05,2,3,1,43
567314826,567293863,-0.006223475,-0.0006464246,-0.11316492,0.999067,-0.042071696,-0.009716526,-0.000791552,-0.020161245,0.010754861,-0.07685732,0.27214128,0.13825834,-0.00729899,2.7412904e-07,2.4275468e-07,1.9903283e-07,2.786482e-07,4.0831517e-07,6.3769323e-07,1.603405e-05,2.326348e-05,1.147628e-05,2,3,1,100
