timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
575354613,575352358,68339896,59.396201899999994,24.6605965,0.32898194,-2.9631217,-9.654377,-0.022485403,-0.0058500394,-0.06750712,-0.3293312,-0.5593602,-0.36414376,-0.2226188,0.037437953,0.037413422,0.009335578,1.5583997,4.2437057,-2.2400439,-0.13383096,0.03563765,28.05643,7.1570587,0.20670395,0.18870385,0.13210575,0.08086494,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0
575363447,575362377,68339896,59.396201899999994,24.6605965,0.3022198,-2.9589798,-9.656014,-0.022485403,-0.0058500394,-0.06750712,-0.33596942,-0.5151174,-0.38590884,-0.24357517,0.037437953,0.037413422,0.009335578,0.54275507,5.6240363,-3.368985,-0.13595141,0.03563765,28.05643,7.158696,0.20766006,0.1892936,0.13227329,0.080962725,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0
575373401,575372396,68339896,59.396201899999994,24.6605965,0.27612054,-2.9547148,-9.657913,-0.022485403,-0.0058500394,-0.06750712,-0.3407733,-0.4722669,-0.39522657,-0.25218043,0.037437953,0.037413422,0.009335578,1.0377398,5.1062913,-0.8826131,-0.13793479,0.03563765,28.05643,7.160595,0.2086183,0.1898849,0.13257527,0.08106588,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0
575383485,575382414,68339896,59.396201899999994,24.6605965,0.25073886,-2.9504094,-9.659818,-0.022485403,-0.0058500394,-0.06750712,-0.33497322,-0.43972003,-0.37393016,-0.2302642,0.037437953,0.037413422,0.009335578,2.0686276,4.8697524,1.8710473,-0.13997142,0.03563765,28.05643,7.1624994,0.20957907,0.19047782,0.13303456,0.08117539,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0
575393575,575392433,68339896,59.396201899999994,24.6605965,0.2260406,-2.946049,-9.6616955,-0.022485403,-0.0058500394,-0.06750712,-0.34251583,-0.40016297,-0.3809576,-0.23676012,0.037437953,0.037413422,0.009335578,0.5164151,5.2947717,-2.0475357,-0.14248194,0.03563765,28.05643,7.164377,0.21054214,0.19078824,0.13335212,0.08121652,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0
575403594,575402455,68339896,59.396201899999994,24.6605965,0.20194602,-2.9415314,-9.6638155,-0.022485403,-0.0058500394,-0.06750712,-0.3470347,-0.35663676,-0.39727077,-0.2526263,0.037437953,0.037413422,0.009335578,1.075382,4.1445684,-1.1759635,-0.14473672,0.03563765,28.05643,7.166497,0.21150707,0.19138342,0.13361666,0.08132097,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0
575414349,575412471,68339896,59.396201899999994,24.6605965,0.17852522,-2.9369185,-9.666033,-0.022485403,-0.0058500394,-0.06750712,-0.33899134,-0.3270014,-0.38461047,-0.23960069,0.037437953,0.037413422,0.009335578,2.0251856,2.5639582,1.9401432,-0.14683124,0.03563765,28.05643,7.1687145,0.21247388,0.19198018,0.1340471,0.08143029,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0
575423599,575422490,68339896,59.396201899999994,24.6605965,0.15578519,-2.932267,-9.668164,-0.022485403,-0.0058500394,-0.06750712,-0.34045655,-0.28841728,-0.37367272,-0.22837603,0.037437953,0.037413422,0.009335578,0.17757386,4.461389,0.2747461,-0.1489781,0.03563765,28.05643,7.170846,0.21344335,0.19257852,0.13459961,0.08154131,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0
575433648,575432508,68339896,59.396201899999994,24.6605965,0.13358237,-2.9274454,-9.670405,-0.022485403,-0.0058500394,-0.06750712,-0.3504682,-0.239325,-0.39213276,-0.24662383,0.037437953,0.037413422,0.009335578,-0.42361444,5.298411,-1.8763931,-0.15090816,0.03563765,28.05643,7.173087,0.21441585,0.19317843,0.13507338,0.08164953,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0
575443838,575442528,68339896,59.396201899999994,24.6605965,0.111915715,-2.92242,-9.672898,-0.022485403,-0.0058500394,-0.06750712,-0.34406006,-0.19966495,-0.4077661,-0.26211655,0.037437953,0.037413422,0.009335578,2.5847971,3.4373388,-0.93905383,-0.15261835,0.03563765,28.05643,7.17558,0.21539083,0.19377989,0.13552454,0.08175933,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0
