timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
565685108,565684057,59.39622272992862,24.66057342684743,30.495012,42.569736,0.06750712,0.39317733,0.5858187,nan,2,2,0,0
565695037,565694077,59.39622272729775,24.660573428401538,30.496124,42.570847,0.06750712,0.3935329,0.58600116,nan,2,2,0,0
565705013,565704096,59.396222724720495,24.660573429667142,30.497252,42.571976,0.06750712,0.39389205,0.5861849,nan,2,2,0,0
565715947,565714115,59.39622272221612,24.660573430684263,30.498531,42.573254,0.06750712,0.39425483,0.5862865,nan,2,2,0,0
565725849,565724134,59.39622271901061,24.660573436224706,30.499493,42.570404,0.06750712,0.39033073,0.58440334,nan,2,2,0,0
565735200,565734154,59.39622271593805,24.660573441314504,30.500477,42.57139,0.06750712,0.39065734,0.5845753,nan,2,2,0,0
565745413,565744173,59.396222712874064,24.660573445856784,30.501478,42.57239,0.06750712,0.39098734,0.58474857,nan,2,2,0,0
565755305,565754194,59.39622270981008,24.66057345010214,30.502499,42.57341,0.06750712,0.39132077,0.5849231,nan,2,2,0,0
565765260,565764211,59.39622270689402,24.660573453894745,30.503544,42.574455,0.06750712,0.39165762,0.58509886,nan,2,2,0,0
565775292,565774230,59.39622270398871,24.66057345739885,30.50474,42.575653,0.06750712,0.39199793,0.58519834,nan,2,2,0,0
565785181,565784250,59.39622270113056,24.660573460555494,30.505941,42.576855,0.06750712,0.39234176,0.5853763,nan,2,2,0,0
565795243,565794269,59.39622269836889,24.660573463263596,30.507156,42.57807,0.06750712,0.3926891,0.58555555,nan,2,2,0,0
565805243,565804289,59.39622269567155,24.66057346560739,30.508387,42.5793,0.06750712,0.39303997,0.58573616,nan,2,2,0,0
565815556,565814307,59.39622269296992,24.660573467610035,30.509624,42.580536,0.06750712,0.3933944,0.58591807,nan,2,2,0,0
565825437,565824326,59.396222690351905,24.660573469218892,30.510881,42.581795,0.06750712,0.39375246,0.58610123,nan,2,2,0,0
565835403,565834347,59.396222687712466,24.660573470547675,30.512152,42.583065,0.06750712,0.3941141,0.5862858,nan,2,2,0,0
565846231,565844365,59.396222684839316,24.6605734751426,30.513266,42.580334,0.06750712,0.39021352,0.5843297,nan,2,2,0,0
565855474,565854384,59.39622268207335,24.660573479350052,30.514399,42.581467,0.06750712,0.39053923,0.5845012,nan,2,2,0,0
565865405,565864403,59.39622267934813,24.660573483075268,30.515553,42.582623,0.06750712,0.3908683,0.584674,nan,2,2,0,0
565875338,565874423,59.39622267664651,24.6605734863351,30.516724,42.583794,0.06750712,0.3912008,0.584848,nan,2,2,0,0
565885411,565884442,59.39622267406282,24.660573489165337,30.517906,42.584976,0.06750712,0.39153677,0.58502334,nan,2,2,0,0
565895581,565894461,59.39622267147269,24.660573491673386,30.519108,42.586178,0.06750712,0.3918762,0.58519995,nan,2,2,0,0
565905550,565904480,59.39622266894901,24.66057349387398,30.520452,42.58752,0.06750712,0.39221907,0.5852997,nan,2,2,0,0
565915891,565914499,59.39622266650468,24.660573495632352,30.521812,42.588882,0.06750712,0.39256546,0.5854784,nan,2,2,0,0
565925506,565924518,59.39622266403891,24.660573497024306,30.523184,42.590252,0.06750712,0.39291543,0.5856585,nan,2,2,0,0
565935604,565934538,59.39622266161602,24.66057349815514,30.524563,42.591633,0.06750712,0.3932689,0.58583987,nan,2,2,0,0
565945542,565944557,59.396222659242454,24.66057349885849,30.525951,42.59302,0.06750712,0.39362603,0.5860226,nan,2,2,0,0
565955521,565954576,59.39622265687102,24.660573499267024,30.527351,42.59442,0.06750712,0.39398673,0.5862067,nan,2,2,0,0
565965715,565964595,59.3962226545382,24.660573499532358,30.528757,42.595825,0.06750712,0.3943511,0.58639205,nan,2,2,0,0
565976294,565974614,59.39622265163286,24.660573504843267,30.529808,42.592606,0.06750712,0.3904063,0.58442163,nan,2,2,0,0
565985558,565984636,59.396222648772564,24.66057350975828,30.530888,42.593685,0.06750712,0.39073423,0.58459383,nan,2,2,0,0
565995677,565994653,59.396222645905844,24.660573514298456,30.531979,42.594776,0.06750712,0.39106554,0.5847673,nan,2,2,0,0
566005661,566004672,59.39622264316134,24.660573518390088,30.533096,42.595894,0.06750712,0.39140028,0.5849421,nan,2,2,0,0
566015933,566014691,59.39622264038465,24.66057352206266,30.534239,42.59704,0.06750712,0.39173844,0.5851181,nan,2,2,0,0
566025741,566024711,59.3962226376187,24.660573525349864,30.535389,42.598186,0.06750712,0.39208013,0.5852955,nan,2,2,0,0
566035921,566034730,59.39622263500285,24.660573528310664,30.536678,42.599476,0.06750712,0.3924253,0.58539546,nan,2,2,0,0
566045717,566044749,59.396222632374105,24.66057353087557,30.53799,42.60079,0.06750712,0.392774,0.5855749,nan,2,2,0,0
566055699,566054768,59.39622262978828,24.66057353300878,30.539322,42.60212,0.06750712,0.39312625,0.58575577,nan,2,2,0,0
566065781,566064788,59.39622262728605,24.660573534790313,30.54066,42.60346,0.06750712,0.39348206,0.5859379,nan,2,2,0,0
566075723,566074807,59.396222624775255,24.660573536281245,30.54202,42.60482,0.06750712,0.39384148,0.5861214,nan,2,2,0,0
566085935,566084836,59.39622262224945,24.66057353744998,30.543402,42.6062,0.06750712,0.39420456,0.58630615,nan,2,2,0,0
566095991,566094845,59.39622261985229,24.660573538294422,30.5448,42.607597,0.06750712,0.39457127,0.5864923,nan,2,2,0,0
566106111,566104864,59.39622261745298,24.660573538742966,30.546356,42.609154,0.06750712,0.3949417,0.5865946,nan,2,2,0,0
566117019,566114883,59.396222615939216,24.660573541387894,30.547485,42.605568,0.06750712,0.3908895,0.5846712,nan,2,2,0,0
566125913,566124902,59.396222614539084,24.66057354364745,30.548637,42.60672,0.06750712,0.39122236,0.58484524,nan,2,2,0,0
566135989,566134922,59.39622261317111,24.660573545584814,30.54981,42.60789,0.06750712,0.39155862,0.58502054,nan,2,2,0,0
566145889,566144944,59.39622261172596,24.66057354715787,30.551016,42.609097,0.06750712,0.39189836,0.5851972,nan,2,2,0,0
566155891,566154960,59.39622261036441,24.660573548362407,30.552244,42.610325,0.06750712,0.3922416,0.5853751,nan,2,2,0,0
566166043,566164984,59.39622260906721,24.66057354920053,30.553627,42.61171,0.06750712,0.39258835,0.5854752,nan,2,2,0,0
566176373,566174998,59.39622260762849,24.660573549750154,30.55502,42.6131,0.06750712,0.3929386,0.5856553,nan,2,2,0,0
566186086,566185020,59.39622260630127,24.660573549870186,30.556433,42.614513,0.06750712,0.3932925,0.58583665,nan,2,2,0,0
566196194,566195037,59.396222604997625,24.660573549731204,30.557858,42.615936,0.06750712,0.39364994,0.58601934,nan,2,2,0,0
566206130,566205056,59.39622260360392,24.660573549255282,30.5593,42.61738,0.06750712,0.39401102,0.5862034,nan,2,2,0,0
566216150,566215075,59.39622260232172,24.660573548503507,30.560757,42.618835,0.06750712,0.3943757,0.58638877,nan,2,2,0,0
566226102,566225094,59.39622260106096,24.66057354741479,30.56223,42.620308,0.06750712,0.3947441,0.5865755,nan,2,2,0,0
566236270,566235114,59.39622259971443,24.66057354603126,30.563854,42.621933,0.06750712,0.39511618,0.58667785,nan,2,2,0,0
566246231,566245133,59.39622259851372,24.660573544352914,30.565489,42.62357,0.06750712,0.39549196,0.58686674,nan,2,2,0,0
566256085,566255152,59.396222597345144,24.66057354237343,30.56713,42.62521,0.06750712,0.39587152,0.58705705,nan,2,2,0,0
566266190,566265173,59.396222596075795,24.660573540155994,30.568768,42.626846,0.06750712,0.39625484,0.5872487,nan,2,2,0,0
566276881,566275191,59.39622259388018,24.660573542544007,30.569893,42.6221,0.06750712,0.39196196,0.5852398,nan,2,2,0,0
566286285,566285210,59.39622259174462,24.660573544561394,30.571037,42.623245,0.06750712,0.39230528,0.58541787,nan,2,2,0,0
566296405,566295229,59.396222589570456,24.66057354619131,30.572306,42.624516,0.06750712,0.39265212,0.5855179,nan,2,2,0,0
566306319,566305248,59.39622258746919,24.66057354749482,30.57359,42.625797,0.06750712,0.3930025,0.5856981,nan,2,2,0,0
566316365,566315268,59.396222585462276,24.660573548442446,30.574898,42.627106,0.06750712,0.3933564,0.5858797,nan,2,2,0,0
566326361,566325287,59.39622258338673,24.660573549141585,30.576216,42.628426,0.06750712,0.39371395,0.58606255,nan,2,2,0,0
566336242,566335306,59.39622258136479,24.66057354950168,30.577549,42.629757,0.06750712,0.3940751,0.5862468,nan,2,2,0,0
566346472,566345325,59.39622257938575,24.66057354946799,30.578896,42.631104,0.06750712,0.39443985,0.58643234,nan,2,2,0,0
566357094,566355344,59.396222576591924,24.66057355233824,30.579786,42.629143,0.06750712,0.39048195,0.584457,nan,2,2,0,0
566366396,566365364,59.396222573903145,24.66057355479364,30.580702,42.63006,0.06750712,0.3908102,0.5846293,nan,2,2,0,0
566376802,566375382,59.39622257127443,24.660573556931062,30.581646,42.631,0.06750712,0.39114177,0.5848029,nan,2,2,0,0
