timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
576498339,576395308,2490386,-0.0021645245,0.002075965,0.0017004572,0.15,2.4132518e-07,2.4065403e-07,4.9766027e-07,2490386,0.032439634,-0.033422757,-0.18965915,0.4,0.00077759736,0.00078203564,0.0005117644,527625,-0.099493444,-0.14369845,-0.08039511,0.5,0.001237906,0.00057015906,0.0011446109,1,0,1,0,1,0
576594462,576494152,2490386,-0.0021645257,0.0020759664,0.0017004582,0.15,2.4230238e-07,2.4163128e-07,4.9863786e-07,2490386,0.032439653,-0.033422776,-0.18965927,0.4,0.000777607,0.00078204536,0.00051177375,527625,-0.10150452,-0.14374247,-0.08089397,0.5,0.001224239,0.00054072216,0.0011326263,1,0,1,0,1,0
576693300,576592995,2490386,-0.0021156936,0.0020989354,0.0017123936,0.15,2.4276656e-07,2.4205974e-07,4.995821e-07,2490386,0.032420926,-0.033380385,-0.18965234,0.4,0.00077761844,0.0007820568,0.0005117844,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
577365353,577265133,2490386,-0.0019910713,0.0021584672,0.00174142,0.15,2.4815327e-07,2.4738884e-07,5.061578e-07,2490386,0.031657375,-0.03206724,-0.18979397,0.4,0.00077657745,0.0007809958,0.00051176106,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
577613645,577512242,2490386,-0.0019905565,0.0021602053,0.0017414358,0.15,2.505895e-07,2.49827e-07,5.0860143e-07,2490386,0.03084005,-0.031171134,-0.18994232,0.4,0.000774927,0.0007794187,0.0005117626,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
577741089,577640749,2490386,-0.0019901437,0.0021622414,0.0017416867,0.15,2.5184883e-07,2.5108668e-07,5.0986085e-07,2490386,0.02988237,-0.030774327,-0.19014004,0.4,0.00077359704,0.00077823835,0.0005117521,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
577999607,577897730,2490386,-0.0019896312,0.0021655604,0.0017420793,0.15,2.5437606e-07,2.5361305e-07,5.1241403e-07,2490386,0.028648611,-0.030182146,-0.19009651,0.4,0.0007698497,0.000775013,0.0005117655,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
578274779,578174489,2490386,-0.0019886573,0.0021685353,0.0017426392,0.15,2.570746e-07,2.5630894e-07,5.1515156e-07,2490386,0.027712705,-0.029491952,-0.18959606,0.4,0.00076433487,0.00077016203,0.000511769,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
578364263,578263447,2490386,-0.001989577,0.0021716524,0.0017425611,0.15,2.5792818e-07,2.5716068e-07,5.1603104e-07,2490386,0.026707062,-0.029701976,-0.18960011,0.4,0.0007611691,0.0007673494,0.0005117704,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
578492808,578391941,2490386,-0.0019871914,0.0021743886,0.0017431171,0.15,2.5916157e-07,2.583914e-07,5.1730166e-07,2490386,0.02594217,-0.028922446,-0.18965855,0.4,0.0007575985,0.00076417805,0.00051177264,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
