timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
565558818,-0.002843833,-0.008777962,-0.007267377,5010,0,-0.541824,0.1543176,-9.909396,5010,0,0,1,1
565563835,-0.0033905464,-0.0060733953,-0.0063938885,5017,0,-0.9689151,0.3344762,-10.111538,5017,0,0,1,1
565568837,-0.0064303754,-0.0036201423,-0.009100159,5002,0,-0.79095167,0.15026362,-10.110277,5002,0,0,1,1
565573846,-0.0067848368,-0.003122391,-0.0061318474,5009,0,-0.51074237,0.17972429,-9.812075,5009,0,0,1,1
565578856,-0.010450865,-0.0063120234,-0.0028717765,5010,0,-0.8691287,0.18248166,-9.928735,5010,0,0,1,1
565583869,-0.0050288443,-0.0037956391,0.00080458727,5013,0,-0.82865286,0.23965192,-9.933288,5013,0,0,1,1
565588884,-0.014545102,-0.01183021,0.0067743496,5015,0,-0.5661079,0.440587,-9.927824,5015,0,0,1,1
565593885,-0.00487429,-0.008711753,0.009314405,5001,0,-0.907987,0.013463826,-10.026869,5001,0,0,1,1
565598896,-0.010948088,0.002548848,0.006675135,5011,0,-1.0025375,0.34438422,-10.022518,5011,0,0,1,1
565603904,-0.0008164144,0.004062723,0.0034048648,5008,0,-0.59739345,0.11756092,-10.113602,5008,0,0,1,1
565608914,-0.0031226932,-0.0011512975,0.0030324573,5010,0,-0.7992696,0.36701423,-9.930425,5010,0,0,1,1
565613924,0.003260794,0.011237345,-0.00312938,5010,0,-0.80266845,0.08292482,-9.93509,5010,0,0,1,1
565618933,0.0016207402,-0.002182776,-0.0023333838,5009,0,-0.56731635,0.23142895,-9.84045,5009,0,0,1,1
565623947,-0.0031127364,-0.0010427843,-0.0058406773,5014,0,-0.84304017,0.36974785,-9.886768,5014,0,0,1,1
565628952,-0.0022950245,0.003030283,-0.004387834,5005,0,-0.8117187,-0.036773197,-9.956877,5005,0,0,1,1
