timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
565493099,565492572,2490386,2490386,-4.0254813e-06,4.4416333e-06,1.0973395e-05,-0.0022937458,0.0010862743,-0.049342465,4942,4942,0,0,1,1
565498017,565497515,2490386,2490386,2.0161633e-05,-2.1608657e-06,-6.0799225e-06,-0.0034926878,0.0007357823,-0.04893894,4943,4943,0,0,1,1
565503025,565502457,2490386,2490386,-9.9589e-06,1.616383e-05,-2.4169585e-05,-0.005251255,0.00067696726,-0.04891112,4942,4942,0,0,1,1
565507939,565507399,2490386,2490386,-1.5013134e-05,1.19141805e-05,-3.0384077e-05,-0.0029709323,0.0004469346,-0.049576744,4942,4942,0,0,1,1
565513037,565512342,2490386,2490386,-2.1861742e-05,5.4016844e-05,-2.8241186e-05,-0.0037675619,0.00061237084,-0.049248423,4943,4943,0,0,1,1
565517656,565517284,2490386,2490386,-2.6837442e-05,1.3360186e-05,-1.556213e-05,-0.005305451,0.0010831748,-0.04877899,4942,4942,0,0,1,1
565522571,565522228,2490386,2490386,9.871386e-06,5.9126833e-05,-7.6027272e-06,-0.0019188813,0.0006103951,-0.04905171,4944,4944,0,0,1,1
565527470,565527169,2490386,2490386,-4.7802187e-05,-6.797541e-06,4.9282688e-05,-0.0019984385,0.0018692754,-0.049250633,4941,4941,0,0,1,1
565532413,565532111,2490386,2490386,-1.200448e-05,-2.8133716e-05,3.2266173e-05,-0.005401064,0.00020859002,-0.04829735,4942,4942,0,0,1,1
565537361,565537054,2490386,2490386,-3.2263873e-05,7.530317e-06,4.1479743e-05,-0.0042222426,0.0007338259,-0.048879486,4943,4943,0,0,1,1
565542293,565541997,2490386,2490386,1.07598125e-05,-8.47785e-06,4.2162457e-05,-0.0021716969,0.0013461726,-0.049900908,4943,4943,0,0,1,1
565547272,565546944,2490386,2490386,2.5609693e-06,5.066255e-05,3.3957334e-05,-0.00541074,0.00030816934,-0.04891807,4947,4947,0,0,1,1
565552174,565551881,2490386,2490386,-2.1284657e-06,3.253716e-05,8.1499265e-06,-0.0041326354,0.0012247612,-0.049356177,4937,4937,0,0,1,1
565557154,565556836,2490386,2490386,2.5931407e-05,2.6005131e-05,-1.4571151e-05,-0.0019162587,0.00047357523,-0.049402215,4955,4955,0,0,1,1
565562059,565561766,2490386,2490386,-1.3733814e-05,5.45324e-07,-3.1909116e-05,-0.0035397122,0.00090518966,-0.049683183,4930,4930,0,0,1,1
565567011,565566715,2490386,2490386,3.5950714e-07,1.8304123e-05,-2.0490337e-05,-0.0047891634,0.0011184101,-0.04875492,4949,4949,0,0,1,1
565572032,565571651,2490386,2490386,-2.100432e-05,-4.2039333e-06,-2.7770515e-05,-0.0030575409,0.0007359203,-0.04838241,4936,4936,0,0,1,1
565580745,565576593,2490386,2490386,-2.9734418e-05,-1.6941925e-05,-1.8406092e-05,-0.0036078456,0.0013975406,-0.048132896,4942,4942,0,0,1,1
565582024,565581535,2490386,2490386,-4.241857e-05,8.194971e-07,1.6928389e-05,-0.0044297026,-0.00024719676,-0.04946348,4942,4942,0,0,1,1
